Depth CSF-A (m),NGR total counts (cps),Reflectance L*,Reflectance a*,Reflectance b*,Porosity (vol%)
0.0,0.2515399554395873,0.3645569620253165,0.2259136212624584,0.4708661417322834,57.0
0.0,0.2173571147728491,0.4962025316455696,0.3588039867109634,0.3417322834645669,79.9
5.717939254692607e-05,0.2490498147287653,0.4265822784810127,0.415282392026578,0.4078740157480315,64.1
6.237751914210118e-05,0.2663259105693963,0.4696202531645569,0.4651162790697674,0.4440944881889764,54.9
6.237751914210118e-05,0.2545305072023448,0.4177215189873419,0.5282392026578072,0.5165354330708661,73.6
6.237751914210118e-05,0.2480966508203167,0.3835443037974684,0.5249169435215946,0.6692913385826772,72.5
6.237751914210118e-05,0.4954426850627301,0.2139240506329114,0.3255813953488372,0.4362204724409449,60.8
6.237751914210118e-05,0.1564737701206944,0.5924050632911393,0.5049833887043189,0.4850393700787402,70.1
0.0001039625319035,0.1699372103275309,0.5000000000000001,0.5813953488372092,0.4913385826771653,73.4
0.0001455475446649,0.2131870226733865,0.37,0.2750830564784053,0.4182677165354331,20.9
0.0001559437978552,0.047241186212484,0.2987341772151898,0.3322259136212624,0.4047244094488189,70.5
0.0001767363042359,0.0440957453146036,0.2278481012658228,0.3720930232558139,0.4,71.6
0.0002235194435925,0.0659708570134992,0.3063291139240506,0.3986710963455149,0.3291338582677166,68.5
0.0002235194435925,0.0839260821388998,0.4772151898734177,0.4617940199335547,0.4598425196850394,65.3
0.0002287175701877,0.2084212031311434,0.3539240506329114,0.3232558139534883,0.4248818897637795,61.6
0.0002495100765684,0.0555694558625537,0.2999999999999999,0.3289036544850498,0.384251968503937,72.2
0.0002495100765684,0.0297982866878745,0.3088607594936708,0.3654485049833886,0.4425196850393701,81.0
0.0002495100765684,0.080911701278431,0.3974683544303797,0.4119601328903654,0.4110236220472441,69.8
0.0002703025829491,0.1675835453581459,0.3379746835443038,0.255813953488372,0.415748031496063,57.0
0.0002806988361394,0.289440135349275,0.7270886075949368,0.3840531561461793,0.5571653543307087,64.0
0.0002806988361394,0.2322503008423586,0.6417721518987343,0.5338870431893687,0.7710236220472442,58.9
0.0002806988361394,0.2012724738177789,0.5079746835443038,0.3514950166112957,0.4447244094488189,65.7
0.0002806988361394,0.1702946467931991,0.5264556962025316,0.3830564784053156,0.5239370078740158,67.4
0.0002806988361394,0.2346332106134801,0.4678481012658227,0.3302325581395348,0.4467716535433071,56.8
0.0002858969627346,0.1988895640466574,0.7626582278481013,0.3352159468438538,0.4233070866141732,22.0
0.000327481975496,0.2967675828954737,0.3632911392405064,0.3056478405315614,0.3401574803149606,63.5
0.0004522370137802,0.5975503687552871,0.2253164556962025,0.4651162790697674,0.5637795275590551,64.2
0.0005302089127078,0.2370161203846016,0.5088607594936709,0.3953488372093023,0.3590551181102362,67.1
0.000535407039303,0.3289011211590473,0.4189873417721519,0.2657807308970099,0.3165354330708662,54.1
0.0005769920520644,0.3117084271604056,0.3621518987341773,0.3066445182724252,0.3500787401574803,67.9
0.0006185770648258,0.3433058107254769,0.4582278481012658,0.2491694352159468,0.3937007874015748,59.5
0.0006341714446113,0.3433058107254769,0.4582278481012658,0.2491694352159468,0.3937007874015748,59.1
0.0006341714446113,0.2259355899488866,0.4746835443037975,0.4983388704318936,0.3984251968503937,76.4
0.0006341714446113,0.2165230963529566,0.4784810126582278,0.3488372093023255,0.3338582677165355,68.6
0.0007797189892762,0.2648961647067234,0.3784810126582278,0.5249169435215946,0.5606299212598426,73.8
0.0008213040020376,0.7114057976194732,0.4,0.3056478405315614,0.2598425196850394,42.8
0.0008368983818231,0.2104466764365967,0.5708860759493671,0.5282392026578072,0.3889763779527559,76.1
0.0008420965084183,0.2322503008423586,0.4354430379746836,0.5980066445182723,0.521259842519685,70.7
0.0008420965084183,0.2429733948124054,0.4075949367088608,0.5083056478405314,0.5165354330708661,69.5
0.0008420965084183,0.2010341828406667,0.5468354430379747,0.3820598006644518,0.2708661417322835,71.3
0.0008420965084183,0.1758944847553347,0.4620253164556962,0.548172757475083,0.5291338582677165,70.3
0.0008420965084183,0.5731255436012915,0.281012658227848,0.3588039867109634,0.4362204724409449,64.3
0.0008576908882038,0.3448427875278503,0.4037974683544304,0.2325581395348837,0.4141732283464567,56.5
0.0008836815211797,0.0067793782988407,0.4063291139240506,0.3820598006644518,0.4110236220472441,73.6
0.0009044740275604,0.3752248871096496,0.4073417721518988,0.3903654485049833,0.4543307086614173,60.7
0.0010084365594639,0.2198353409348155,0.3405063291139241,0.2524916943521594,0.3732283464566929,53.9
