Depth CSF-A (m),Porosity (vol%),NGR total counts (cps),Reflectance L*,Reflectance a*,Reflectance b*
72.68,72.8,23.44,55.5,7.3,16.3
72.68,62.5,25.76,60.0,0.6,-2.6
72.8,58.1,19.0,54.13,-0.21,10.94
72.8,58.1,19.0,54.13,-0.21,10.94
72.9,46.3,59.103,41.4,-0.5,1.6
72.92,46.0,59.103,43.7,-1.2,3.8
72.96,67.9,20.54,59.8,-1.1,-0.6
72.98,43.4,33.521,41.0,-0.4,1.2
73.0,73.0,27.8,56.74,0.13,13.17
73.07,86.0,15.57,52.4,-0.7,-1.7
73.08,83.9,15.53,38.7,1.1,1.1
73.08,74.0,12.04,50.0,-0.3,-0.5
73.17,49.7,44.422,38.51,0.17,2.25
73.36,66.3,16.304,55.7,2.1,10.1
73.38,64.2,25.29,60.9,0.0,-0.1
73.5,58.4,28.8,55.29,-1.29,11.1
73.68,66.8,18.8,60.1,-2.2,0.3
73.7,23.3,54.47,43.3,-0.8,1.6
73.7,72.2,27.2,52.16,-0.04,12.9
73.74,72.7,22.778,51.2,0.8,10.9
73.74,46.0,49.348,45.8,-0.6,-1.3
73.8,56.4,34.2,58.77,-1.21,9.05
73.92,73.2,29.6,60.39,0.78,14.35
73.99,66.9,21.03,69.0,-0.9,-0.2
74.02,60.7,46.46,40.2,-0.1,-0.9
74.18,61.7,26.27,51.2,0.5,1.2
74.18,74.9,24.74,55.6,-0.4,5.5
74.3,57.3,16.4,52.74,0.25,8.59
74.31,40.0,17.515,46.6,3.6,3.9
74.48,48.7,48.988,42.8,-1.2,1.2
74.48,48.7,48.988,42.8,-1.2,1.2
74.57,87.2,15.29,39.6,-1.8,2.2
74.58,83.9,13.9,28.9,0.0,6.4
74.58,64.1,25.77,60.5,1.1,-0.8
74.58,75.1,11.93,60.6,-0.9,0.8
74.68,44.9,51.056,47.3,-1.0,-0.5
74.68,44.9,51.056,47.3,-1.0,-0.5
74.69,59.6,36.726,52.8,2.4,5.3
74.69,59.6,36.726,52.8,2.4,5.3
74.74,61.7,14.8645,56.5,1.6,9.8
74.84,62.4,29.264,49.5,1.2,9.1
74.84,48.4,45.799,38.42,0.41,0.55
74.9,44.7,44.555,32.5,-0.2,-1.9
75.0,60.1,31.8,54.28,-1.52,11.51
75.18,65.5,19.99,62.5,-1.1,-0.6
75.24,63.9,24.4,53.3,0.5,0.1
75.26,55.8,25.551,56.8,4.4,7.6
75.3,59.6,26.0,56.34,-0.94,6.78
75.34,61.9,49.23,41.5,-0.5,0.5
75.42,71.6,28.4,58.38,-0.44,12.17
75.46,48.5,53.198,50.8,-0.8,-1.1
75.49,67.4,21.64,64.9,-0.5,-2.5
75.68,63.4,28.02,57.0,0.4,-1.3
75.68,75.3,22.54,61.4,0.9,3.6
75.68,63.4,28.02,57.0,0.4,-1.3
75.68,75.3,22.54,61.4,0.9,3.6
75.7,59.7,32.0,58.88,0.45,11.3
75.88,42.3,34.88,36.7,-0.5,2.8
75.91,47.3,42.652,42.13,1.11,-0.86
76.07,86.1,14.89,47.0,-1.0,1.2
76.08,82.9,15.08,43.1,-0.1,4.4
76.08,75.6,13.03,60.4,-1.7,0.2
76.2,63.7,19.191,55.1,2.0,6.4
76.25,62.7,40.23,44.8,-1.0,0.8
76.38,47.3,43.816,40.3,-0.4,0.4
76.5,56.5,27.4,56.81,-0.97,11.71
76.68,66.3,19.69,65.2,0.3,-2.7
76.7,66.4,16.4,49.65,-0.22,10.85
76.7,61.9,14.05,40.9,-0.2,-0.9
76.74,60.5,21.008,50.8,1.0,10.3
76.76,65.2,22.65,58.7,-0.9,-0.6
76.76,65.2,22.65,58.7,-0.9,-0.6
76.8,56.4,35.2,62.21,-1.45,9.84
76.88,63.4,26.55,44.8,0.3,2.7
76.92,66.6,38.4,55.8,0.55,13.73
77.15,75.9,21.5,54.9,6.4,21.3
77.18,60.2,26.07,57.4,0.0,-0.8
77.2,48.5,45.849,38.15,0.57,1.45
77.28,63.9,35.03,47.9,-0.2,-0.9
77.3,65.4,34.0,53.11,1.22,15.36
77.48,65.4,22.94,58.1,-1.1,-1.2
77.57,85.5,14.56,42.2,-1.0,1.1
77.58,82.4,14.99,46.4,0.0,1.2
77.59,74.3,14.27,56.4,-0.6,1.3
77.74,60.6,19.791,53.2,3.0,5.0
77.77,64.0,27.481,46.7,1.5,8.2
77.77,64.0,27.481,46.7,1.5,8.2
77.8,57.7,18.6,55.01,0.0,12.64
78.0,57.3,23.6,55.78,-1.34,10.97
78.13,62.9,24.94,50.6,1.5,1.3
78.18,64.2,21.51,60.0,-1.4,-0.3
78.26,62.1,26.64,46.3,0.0,0.1
78.3,56.7,31.8,60.08,-0.64,9.26
78.32,50.3,40.758,37.57,0.67,3.35
78.4,46.8,54.855,47.1,-0.6,-0.9
78.42,64.3,37.0,54.7,0.78,14.25
78.62,77.5,22.31,63.2,6.5,12.2
78.7,63.3,30.8,53.77,1.35,13.02
78.78,62.1,41.97,40.4,0.0,2.3
78.83,57.8,54.171,50.9,2.3,5.8
78.83,57.8,54.171,50.9,2.3,5.8
78.89,62.4,19.475,46.3,1.2,10.5
78.98,65.6,22.65,57.9,-0.3,0.0
79.03,63.8,26.41,56.2,0.2,-1.8
79.07,85.5,15.09,51.8,-1.4,0.7
79.08,83.6,16.0,40.9,-2.9,3.1
79.1,73.8,15.37,54.4,0.8,2.8
79.15,52.2,20.561,68.8,3.3,5.0
79.15,52.2,20.561,68.8,3.3,5.0
79.3,63.1,21.8,54.73,-0.02,11.73
79.5,54.7,26.0,52.11,-0.87,7.89
79.67,50.2,38.249,38.57,0.64,2.64
79.68,65.2,19.97,63.2,-0.2,-2.2
79.8,56.8,29.0,63.31,-1.03,8.95
79.91,45.6,24.64,57.6,5.3,9.8
79.91,45.6,24.64,57.6,5.3,9.8
79.92,66.3,27.6,54.45,0.91,12.88
80.08,77.7,21.7,58.6,5.7,16.7
80.15,61.1,47.307,48.6,1.4,8.2
80.2,71.8,25.0,50.18,0.24,9.28
80.2,71.8,25.0,50.18,0.24,9.28
80.28,61.8,40.16,39.7,0.6,2.0
80.28,61.5,19.381,47.7,1.1,10.2
80.3,50.9,14.536,46.1,-1.4,5.3
80.32,68.2,31.8,51.19,0.51,12.06
80.34,46.9,14.536,46.1,-1.4,5.3
80.4,54.4,29.0,58.0,-0.71,10.72
80.48,64.8,20.92,59.6,0.1,0.2
80.53,73.4,14.15,61.6,-1.0,-0.1
80.53,66.6,16.19,68.7,1.4,-3.8
80.55,83.8,16.58,48.1,-2.5,1.1
80.58,82.7,16.43,36.4,-4.6,4.8
80.58,82.7,16.43,36.4,-4.6,4.8
80.68,65.7,23.57,52.8,-2.1,-0.6
80.7,58.1,27.6,53.41,-0.75,8.45
80.8,67.3,21.8,54.74,-0.11,13.07
81.06,48.2,42.685,40.3,-1.1,3.1
81.08,48.9,42.685,40.3,-1.1,3.1
81.08,84.4,17.41,42.5,-0.3,0.6
81.14,78.0,19.92,55.3,0.5,6.6
81.18,62.4,16.25,73.4,0.2,-2.9
81.22,43.9,55.23,42.6,0.3,-1.6
81.47,64.1,23.444,46.8,1.7,9.2
81.5,56.0,28.0,54.09,-1.23,10.2
81.64,53.9,42.198,50.0,2.3,6.3
81.7,72.1,29.6,55.71,0.16,13.08
81.74,53.6,15.494,51.3,3.3,4.4
81.78,59.0,41.33,41.1,-0.6,3.4
81.8,58.8,26.8,58.43,-1.01,10.78
81.8,58.8,26.8,58.43,-1.01,10.78
81.84,85.9,14.69,48.5,-0.1,-0.5
81.9,74.9,14.64,59.1,-2.1,-0.3
81.98,63.6,24.38,62.2,0.3,-1.8
82.03,64.7,28.41,51.3,-1.5,2.3
82.18,63.7,21.81,56.9,-0.1,-0.3
82.18,79.1,19.85,64.7,6.9,11.9
82.3,47.3,20.0,54.24,-0.23,10.49
82.45,67.6,18.31,58.7,-1.8,-1.1
82.58,85.0,17.38,51.4,0.1,-0.6
82.58,75.1,13.17,55.2,-1.4,0.5
82.58,83.8,15.12,44.2,-0.5,0.1
82.72,43.5,39.043,35.8,0.1,-1.6
82.72,43.5,39.043,35.8,0.1,-1.6
82.83,48.3,45.338,41.7,-0.1,-1.0
83.0,56.0,23.2,59.32,-1.34,10.06
83.14,57.6,46.701,57.1,4.8,9.9
83.18,62.3,5.79,81.6,-0.8,-3.2
83.2,65.2,32.4,56.22,0.33,12.88
83.25,66.0,14.991,60.0,3.4,6.2
83.27,47.4,40.778,43.0,-1.4,2.7
83.28,60.5,45.02,38.6,-1.3,1.9
83.28,66.7,36.284,45.6,1.2,8.7
83.3,56.1,28.6,60.13,-1.38,9.42
83.35,63.2,28.96,53.7,0.1,-1.7
83.35,63.2,28.96,53.7,0.1,-1.7
83.48,63.3,24.72,64.1,-1.5,-0.9
83.48,47.7,43.735,37.81,0.46,0.83
83.68,64.3,22.57,51.5,1.1,1.2
83.69,76.8,20.53,57.1,13.1,14.9
83.8,55.2,19.8,54.13,-0.35,8.69
84.08,85.3,14.98,43.7,-1.3,1.0
84.08,79.5,15.78,57.4,-3.1,1.0
84.08,82.7,16.59,38.9,-1.2,1.6
84.08,82.7,16.59,38.9,-1.2,1.6
84.1,63.6,30.0,53.16,0.15,12.48
84.1,63.6,30.0,53.16,0.15,12.48
84.41,61.5,55.167,50.9,1.5,5.7
84.47,54.1,48.591,54.2,2.0,5.1
84.5,57.7,22.8,54.63,-0.95,10.44
84.52,61.5,23.04,61.4,3.2,6.7
84.53,51.4,43.886,39.71,0.42,1.3
84.6,61.7,23.97,50.5,-0.2,-0.2
84.6,61.7,23.97,50.5,-0.2,-0.2
84.68,61.0,5.8,80.3,-0.1,-3.8
84.78,61.1,42.79,48.1,1.0,-1.7
84.8,57.9,25.8,55.4,-0.97,10.09
84.86,63.1,21.27,65.6,-1.8,0.2
85.18,63.9,20.52,59.3,0.9,-1.0
85.2,79.0,20.37,59.8,6.2,15.9
85.2,61.0,27.14,57.0,-0.1,-1.2
85.2,66.0,22.0,54.69,0.63,13.57
85.22,74.6,17.585,55.4,2.5,5.7
85.28,43.0,26.725,36.5,-1.0,2.8
85.3,57.4,22.2,53.16,-0.2,10.13
85.3,47.1,30.662,18.4,2.9,-7.9
85.3,57.4,22.2,53.16,-0.2,10.13
85.39,49.7,42.879,39.6,0.64,0.91
85.39,47.5,51.841,42.1,-0.4,-1.2
85.58,83.9,14.96,49.6,-1.5,-1.7
85.58,78.4,14.47,56.0,-2.1,0.8
85.58,86.1,14.19,47.6,-1.5,0.5
85.66,47.3,50.963,44.5,-1.7,1.6
85.66,47.3,50.963,44.5,-1.7,1.6
85.98,59.0,28.0,63.7,0.3,-1.4
86.0,53.6,24.4,55.24,-0.97,6.5
86.04,58.3,36.55,40.6,-0.7,0.9
86.11,62.7,20.18,64.2,-1.5,2.6
86.14,55.0,39.958,43.6,3.4,4.4
86.18,63.4,4.83,88.0,0.7,-4.4
86.2,59.0,17.0,50.44,-0.19,7.19
86.28,45.4,58.159,39.7,-0.9,-1.8
86.28,45.4,58.159,39.7,-0.9,-1.8
86.29,64.6,31.584,45.5,0.8,11.4
86.29,58.7,19.971,64.8,2.9,5.8
86.3,54.6,30.4,57.49,-1.08,9.08
86.56,64.4,34.12,48.4,-0.7,-0.9
86.56,64.4,34.12,48.4,-0.7,-0.9
86.66,76.9,20.91,56.0,11.2,18.8
86.66,76.9,20.91,56.0,11.2,18.8
86.67,49.6,43.342,41.13,0.87,1.08
86.68,63.6,20.98,58.7,-0.5,-1.7
86.7,61.1,24.2,54.5,0.17,13.27
86.7,61.1,24.2,54.5,0.17,13.27
86.98,62.9,20.57,65.2,0.3,-2.0
87.08,85.0,15.44,49.1,-0.5,-1.0
87.08,83.0,16.77,46.3,-0.6,0.3
87.08,77.7,15.63,66.0,-1.0,-2.1
87.36,63.7,21.168,48.5,1.5,10.7
87.36,63.7,21.168,48.5,1.5,10.7
87.5,53.2,27.0,55.41,-0.88,7.21
87.53,61.0,26.93,59.1,0.0,-1.3
87.68,64.6,4.43,87.1,1.0,-4.8
87.74,57.6,18.891,52.5,2.8,4.3
87.8,56.8,25.2,60.39,-0.93,7.17
87.96,45.8,50.57,42.4,-0.5,0.0
88.13,76.6,21.57,63.9,6.5,9.1
88.18,63.6,20.92,60.5,0.3,-1.5
88.2,58.3,23.2,53.77,-0.05,12.05
88.21,51.7,38.662,44.79,1.07,0.01
88.28,59.3,42.56,39.6,0.5,1.7
88.3,59.3,21.0,53.51,-0.46,10.31
88.32,52.8,47.264,51.2,2.2,4.6
88.37,40.1,60.525,33.6,0.5,-2.4
88.48,61.4,21.97,65.7,-0.3,2.7
88.58,84.6,16.53,42.6,-1.6,0.4
88.58,73.8,12.99,65.0,-0.5,-0.5
88.58,82.7,16.36,42.3,-1.0,2.4
88.63,63.6,30.07,46.2,0.0,1.4
88.78,61.0,24.021,46.5,1.1,11.0
88.78,61.0,24.021,46.5,1.1,11.0
88.9,55.7,8.643,69.9,5.2,8.6
89.0,58.5,33.0,52.01,-1.15,10.06
89.06,60.6,57.412,41.0,-0.6,-0.3
89.18,62.4,4.31,86.3,0.8,-3.4
89.3,59.2,27.0,62.67,-0.56,9.24
89.44,61.0,21.76,64.2,0.4,-1.7
89.49,49.2,39.675,42.27,0.57,-1.5
89.57,53.2,5.594,73.2,4.0,5.6
89.59,76.2,27.87,56.3,-1.1,6.2
89.7,63.8,21.6,55.94,-0.65,12.38
89.78,66.1,31.854,45.6,1.0,11.7
89.78,59.5,43.25,41.1,0.8,-0.3
89.86,82.0,15.71,46.4,0.0,-0.7
89.9,62.4,23.724,47.6,1.1,10.4
89.9,57.6,26.6,53.62,-0.92,9.8
89.9,57.6,26.6,53.62,-0.92,9.8
89.92,76.7,13.56,57.1,-1.8,1.8
89.98,61.2,23.31,64.2,0.8,2.6
90.02,53.6,32.297,60.4,3.9,9.6
90.03,61.5,26.96,51.7,0.7,0.1
90.03,86.1,14.98,44.8,-2.9,2.0
90.03,44.7,48.973,40.4,-0.7,1.6
90.18,63.5,25.33,51.8,0.7,0.9
90.4,83.3,28.55,43.9,0.1,-0.4
90.5,54.7,5.834,74.7,4.4,7.7
90.55,44.3,41.681,44.3,-1.0,0.8
90.68,63.1,5.07,86.9,0.9,-2.5
90.83,63.6,21.788,49.2,1.5,10.2
90.91,77.8,21.44,55.4,4.6,16.6
91.0,56.5,48.2,54.14,-0.59,10.76
91.04,77.2,11.75,56.3,-0.7,0.9
91.06,48.7,39.588,41.78,1.04,0.5
91.06,48.7,39.588,41.78,1.04,0.5
91.08,58.2,42.86,38.6,0.3,1.3
91.2,55.4,24.6,57.53,-0.47,12.46
91.3,53.9,26.8,56.41,-0.55,8.57
91.35,52.9,57.671,51.9,2.2,4.3
91.37,84.2,14.93,47.8,-0.8,-0.8
91.44,61.5,25.45,54.8,0.8,-1.0
91.48,62.4,25.84,61.8,-0.2,-0.1
91.68,76.1,21.48,39.7,10.7,13.4
91.68,64.6,12.43,76.3,1.9,-4.5
91.7,56.3,3.91,85.2,3.5,-2.5
91.9,57.3,5.914,67.0,4.7,7.5
91.91,83.5,15.59,40.6,0.0,-0.1
91.95,55.7,18.591,57.7,3.3,7.4
92.0,52.1,41.613,38.77,0.64,1.01
92.06,48.4,39.742,42.8,-0.8,2.8
92.08,77.4,13.36,60.3,-0.9,-1.0
92.08,84.8,15.08,40.1,-0.9,1.7
92.22,61.6,24.685,46.6,1.1,13.0
92.5,54.1,25.6,56.23,-0.62,9.76
92.58,60.1,45.23,36.6,0.7,2.4
92.68,60.6,3.46,90.4,3.1,-4.6
92.7,62.6,27.0,55.55,-0.47,12.25
92.8,60.5,26.2,59.57,-0.62,10.21
92.91,60.5,24.41,60.5,-1.3,-1.2
92.91,60.5,24.41,60.5,-1.3,-1.2
93.01,51.8,5.898,42.1,5.2,-6.9
93.01,51.8,5.898,42.1,5.2,-6.9
93.05,49.9,41.448,37.93,0.05,0.93
93.18,64.4,19.22,73.0,2.2,-1.0
93.18,74.2,23.12,58.3,3.6,9.7
93.44,82.3,16.03,47.0,0.2,-0.9
93.45,54.9,5.104,64.2,4.4,7.1
93.58,75.4,13.35,61.4,-1.0,0.3
93.6,61.8,27.8,54.86,-0.74,11.76
93.85,58.1,22.838,50.7,1.3,8.6
94.0,56.5,24.2,58.38,-0.44,11.31
94.08,59.4,48.14,48.4,-0.1,-2.1
94.09,49.0,16.511,61.5,3.4,8.4
94.18,60.7,5.64,88.8,2.4,-3.3
94.24,44.5,52.8,40.0,-1.9,2.3
94.3,59.0,25.8,56.62,-0.65,9.36
94.3,57.7,19.0,56.28,-0.16,8.79
94.34,50.6,67.838,53.1,2.0,6.1
94.38,62.4,21.72,59.3,0.5,-0.6
94.38,62.4,21.72,59.3,0.5,-0.6
94.48,60.6,22.48,65.9,-0.6,-0.9
94.67,48.8,36.846,43.29,0.77,2.06
94.68,61.3,28.22,54.3,0.7,-1.3
94.68,74.0,24.84,58.2,5.3,15.9
94.7,58.3,22.8,53.81,-0.77,10.23
94.83,82.7,15.49,40.9,-0.7,2.3
94.84,47.9,44.35,45.7,-1.0,1.9
94.88,47.5,44.35,47.4,-1.4,2.2
94.89,55.7,5.304,71.4,3.9,5.6
94.96,63.9,22.534,45.9,0.9,9.3
94.96,63.9,22.534,45.9,0.9,9.3
95.08,76.2,12.82,67.0,-0.4,-1.9
95.08,84.2,15.45,40.6,-1.5,2.0
95.34,58.4,47.82,46.0,-0.1,-2.1
95.34,58.4,47.82,46.0,-0.1,-2.1
95.39,30.2,47.985,38.3,-0.7,-1.6
95.39,42.6,43.081,39.8,-1.9,3.9
95.5,57.4,22.4,61.25,-0.79,10.28
95.65,47.6,38.482,43.42,1.07,-0.5
95.68,64.7,4.17,89.7,3.4,-2.8
95.68,64.7,4.17,89.7,3.4,-2.8
95.74,62.8,23.6,60.7,-0.8,0.0
95.8,57.6,23.2,59.1,-0.79,9.87
95.88,61.2,25.23,61.8,1.0,-3.2
95.97,55.5,39.197,53.7,3.7,8.7
96.0,57.1,8.154,68.4,3.3,6.0
96.0,57.1,8.154,68.4,3.3,6.0
96.18,62.8,23.47,65.0,0.6,-1.6
96.18,75.6,24.08,60.9,4.0,9.7
96.2,60.4,22.8,58.58,-1.03,11.42
96.2,60.4,22.8,58.58,-1.03,11.42
96.28,59.1,37.6,37.3,1.7,-0.2
96.31,44.7,49.825,42.1,-1.1,-0.3
96.46,48.6,41.782,46.45,1.12,0.21
96.48,62.5,24.55,56.6,-1.1,0.7
96.58,84.2,16.21,41.7,-1.9,0.0
96.58,75.9,14.43,61.4,-1.4,-0.4
96.58,83.9,16.61,48.8,0.0,-2.0
96.66,51.4,52.884,56.2,1.8,6.2
96.84,65.7,19.001,47.0,1.5,7.9
96.94,58.4,6.451,75.6,3.2,4.4
97.0,56.6,19.8,58.88,-0.86,8.95
97.1,46.2,56.616,44.5,-1.0,1.2
97.18,61.2,4.71,86.1,2.3,-2.5
97.24,42.5,54.287,44.2,-2.3,2.4
97.3,56.9,27.8,55.86,-0.46,7.24
97.38,60.3,28.06,45.2,-0.3,1.8
97.43,48.9,39.19,39.69,0.53,2.02
97.68,61.3,22.29,58.8,2.0,-1.9
97.68,75.0,24.59,59.1,0.8,4.5
97.7,60.7,21.6,57.74,-0.77,11.23
97.78,59.6,47.71,37.1,1.6,0.6
97.85,49.7,60.601,51.8,1.5,5.8
97.98,61.6,18.28,86.5,0.1,-4.0
98.03,80.8,18.13,45.9,-0.7,0.9
98.08,79.6,17.18,41.8,-1.1,1.8
98.08,65.0,26.7,62.1,-1.3,-1.0
98.17,57.0,7.27,73.0,3.6,6.7
98.37,45.3,27.585,47.6,-1.5,5.9
98.48,49.1,38.133,42.29,1.01,-0.28
98.5,55.7,33.8,55.25,-1.25,9.07
98.68,59.7,4.76,84.7,3.9,-1.8
98.75,60.8,26.71,49.4,-0.4,1.4
98.8,59.0,32.8,53.41,-0.15,9.38
98.88,65.7,20.82,58.2,1.9,0.1
98.95,62.2,22.989,50.5,1.3,7.8
98.97,56.6,6.776,69.7,2.9,5.7
99.18,70.5,28.45,53.8,-0.4,7.1
99.2,49.5,41.832,39.82,0.63,2.3
99.24,62.9,30.707,47.4,1.7,10.1
99.28,58.3,41.41,40.1,0.6,0.4
99.38,63.1,21.93,53.2,0.5,0.5
99.38,63.1,21.93,53.2,0.5,0.5
99.4,57.7,23.2,58.05,-1.13,8.13
99.4,53.0,21.032,53.4,2.7,9.2
99.43,73.2,20.31,53.1,-1.5,0.3
99.47,44.6,53.522,46.5,-2.2,1.7
99.48,81.7,18.99,41.8,-1.8,1.6
99.48,61.4,12.64,73.9,-1.2,-1.7
99.58,83.7,15.31,49.1,-0.5,0.0
99.7,62.3,34.4,60.27,-0.67,10.1
99.99,60.9,24.91,52.7,-0.1,1.0
100.18,59.0,4.53,85.4,2.9,-0.9
100.34,62.9,26.544,47.9,1.5,10.3
100.38,61.0,25.3,55.3,1.4,-0.8
100.43,72.8,25.64,52.1,1.2,6.3
100.5,54.6,21.2,62.76,-0.94,10.68
100.62,74.1,15.91,53.1,-1.5,2.8
100.7,55.5,23.8,57.21,-1.22,10.85
100.71,52.3,75.384,57.3,1.7,6.8
100.78,58.4,45.82,40.4,-1.5,2.0
100.8,69.4,22.6,53.44,-0.2,9.57
100.87,80.8,17.45,53.1,0.0,0.6
100.93,81.0,20.96,39.6,-1.8,3.7
100.98,63.2,9.62,73.9,-0.6,1.1
101.12,68.8,27.57,46.8,-1.1,7.4
101.15,62.7,32.384,45.8,0.9,8.9
101.15,62.7,32.384,45.8,0.9,8.9
101.24,59.3,9.738,71.0,3.8,5.2
101.42,55.9,17.551,64.3,3.2,11.3
101.54,51.9,38.584,45.59,0.8,-0.8
101.58,81.4,20.53,44.8,-1.0,2.0
101.58,79.6,18.74,40.4,0.7,-1.7
101.59,61.2,22.85,57.7,-0.3,0.3
101.6,60.1,3.93,93.2,3.2,-3.0
101.73,61.2,22.56,50.0,0.8,1.7
102.0,55.4,25.4,58.12,-1.5,9.05
102.1,58.4,42.69,46.8,0.7,-0.3
102.2,59.6,23.6,55.85,-0.91,10.69
102.2,58.3,3.99,80.3,6.4,6.0
102.3,61.8,30.8,57.63,-0.6,9.25
102.38,81.8,19.08,50.3,,-1.4
102.48,59.3,4.92,87.6,2.4,-2.3
102.48,59.3,4.92,87.6,2.4,-2.3
102.68,67.5,30.2,46.4,-2.4,8.7
102.71,51.2,5.158,33.9,8.3,-5.0
102.71,61.0,25.28,56.3,-1.1,-0.5
102.72,45.9,52.02,47.5,-2.2,1.6
102.74,55.5,10.044,77.6,3.4,3.7
102.85,52.6,33.363,42.99,0.65,1.15
102.93,50.2,43.837,47.5,-0.8,0.4
102.98,47.4,43.837,45.4,-1.3,1.7
103.08,80.1,17.62,45.9,-1.3,1.6
103.08,73.4,17.23,57.8,-2.0,0.8
103.09,60.7,26.25,47.1,0.8,1.9
103.09,60.7,26.25,47.1,0.8,1.9
103.1,54.4,21.8,60.11,-0.75,10.37
103.3,58.7,25.89,41.2,0.1,0.0
103.3,58.7,25.89,41.2,0.1,0.0
103.34,67.5,31.184,43.7,1.7,8.7
103.5,58.5,18.194,55.8,3.1,8.9
103.66,52.2,62.288,58.9,1.1,5.5
103.7,50.4,46.382,45.3,-0.9,0.0
103.8,60.7,24.6,56.92,-0.78,8.99
103.88,83.4,18.16,36.0,-1.2,3.4
103.88,62.6,15.84,60.8,0.0,-0.8
103.98,62.9,4.26,89.1,3.7,-2.2
104.11,54.1,9.978,83.8,4.0,4.7
104.14,64.4,32.364,46.3,1.2,7.1
104.18,70.0,30.03,56.5,-0.6,2.4
104.2,65.5,28.2,51.39,-1.22,8.92
104.2,65.5,28.2,51.39,-1.22,8.92
104.42,48.7,52.756,47.0,-2.2,2.3
104.42,48.7,52.756,47.0,-2.2,2.3
104.44,51.7,34.27,44.25,0.97,-0.24
104.56,56.9,45.02,38.0,0.2,0.7
104.58,71.3,17.21,57.4,-1.3,0.6
104.59,61.1,24.04,54.1,0.7,-1.0
105.0,56.6,28.4,55.0,-0.99,8.55
105.0,50.5,38.79,42.43,0.82,-0.28
105.11,83.6,16.25,39.4,-2.6,3.4
105.26,63.5,4.43,84.2,3.6,0.8
105.3,62.4,25.8,54.26,-0.58,9.02
105.38,62.4,24.05,57.8,1.0,-1.2
105.59,46.6,55.301,45.1,-2.4,1.9
105.65,48.9,27.7,65.7,3.9,7.7
105.69,71.6,30.55,59.8,-1.1,1.3
105.7,56.7,21.6,60.51,-0.82,11.05
105.71,61.3,12.804,71.9,2.25,9.75
105.78,59.9,43.56,37.5,0.1,-0.5
105.97,39.0,38.402,40.04,1.25,-0.27
105.98,63.8,3.84,90.3,3.3,-1.8
106.08,71.1,17.88,55.2,-1.9,1.3
106.08,71.1,17.88,55.2,-1.9,1.3
106.08,82.7,16.75,37.3,-1.7,3.4
106.09,64.2,23.33,50.6,-3.4,1.3
106.12,83.8,13.17,26.4,0.7,-3.7
106.34,62.5,26.214,48.8,1.4,10.7
106.5,56.0,21.6,55.09,-0.78,7.46
106.73,82.0,15.66,41.7,-0.5,1.3
106.8,62.4,25.4,59.61,-0.48,9.15
106.82,81.6,17.3,41.4,-0.5,2.3
106.88,64.4,17.98,68.5,-0.3,-0.6
106.98,47.5,43.288,39.98,1.49,-0.06
106.98,56.4,15.176,54.1,2.8,6.0
107.14,63.5,25.171,49.4,1.4,6.2
107.19,70.5,30.23,58.5,1.6,4.9
107.2,55.3,25.8,58.84,-1.34,10.47
107.22,56.8,15.018,70.1,2.5,9.2
107.28,58.2,43.79,39.7,1.3,-0.2
107.3,41.9,53.525,49.3,-0.9,0.4
107.3,41.9,53.525,49.3,,0.4
107.35,56.5,43.784,52.8,1.0,6.0
107.51,60.4,4.75,81.9,5.6,1.3
107.51,60.4,4.75,81.9,5.6,1.3
107.58,83.1,16.58,41.7,-1.2,1.8
107.58,69.7,17.55,58.1,-1.1,0.3
107.58,69.7,17.55,58.1,-1.1,0.3
107.59,62.3,26.71,53.2,1.0,-1.6
107.98,42.0,47.463,46.2,-0.5,0.2
108.0,59.3,24.8,60.12,-0.75,9.71
108.03,41.5,44.196,47.0,-1.0,1.8
108.06,48.1,40.918,38.54,0.72,1.34
108.06,48.1,40.918,38.54,0.72,1.34
108.11,82.7,18.82,40.4,-0.8,3.7
108.3,58.0,27.2,52.46,-0.49,6.95
108.35,82.0,18.69,42.6,-0.9,0.1
108.38,61.6,16.18,68.7,-0.3,-1.8
108.45,46.0,53.775,40.0,-0.8,0.1
108.49,55.6,10.916,68.1,4.1,8.0
108.67,66.1,20.044,44.2,1.6,9.2
108.7,56.5,21.2,60.07,-0.97,9.73
108.7,71.4,28.1,51.8,0.2,6.5
108.7,56.5,21.2,60.07,-0.97,9.73
108.78,58.1,43.11,45.5,0.4,-1.3
108.78,58.1,43.11,45.5,0.4,-1.3
108.88,82.9,16.44,48.5,-0.6,1.2
108.9,56.2,21.2,64.05,-0.65,10.48
108.97,68.6,20.3,56.0,-0.8,-1.2
109.02,62.8,4.01,88.4,4.7,0.7
109.18,63.3,22.57,55.6,-0.4,0.1
109.24,59.1,9.044,68.8,3.9,7.8
109.32,64.1,22.539,46.0,1.2,7.0
109.37,48.2,38.809,39.86,0.06,0.41
109.43,51.0,37.061,42.0,-1.3,3.4
109.48,47.7,37.061,42.0,-1.3,3.4
109.61,82.7,19.48,42.3,-1.0,1.6
109.81,58.5,14.464,55.2,3.0,7.8
109.83,83.3,19.77,34.6,-0.7,1.0
109.84,72.2,20.431,47.7,1.8,5.5
109.88,62.1,18.53,58.6,-1.0,-0.5
110.0,59.6,22.2,61.58,-0.86,9.97
110.0,73.1,26.15,57.4,3.1,15.0
110.08,71.7,19.04,50.6,-0.7,3.9
110.1,82.7,16.39,47.1,0.2,2.1
