Depth CSF-A (m),Porosity (vol%),NGR total counts (cps),Reflectance L*,Reflectance a*,Reflectance b*
5.24,48.0,47.45,44.7,-0.1,1.1
5.24,78.0,28.611,33.6,1.8,1.8
5.27,44.6,20.72,51.0,5.7,7.4
5.3,63.1,26.6,55.5,-0.25,10.85
5.3,67.5,13.4,60.34,2.24,16.47
5.3,74.6,15.6,67.05,3.04,18.47
5.3,63.4,59.6,58.7,-0.06,12.59
5.5,69.6,16.2,64.25,3.59,20.16
5.5,66.3,37.2,54.04,-0.33,10.62
5.65,79.4,12.99,61.7,3.3,8.9
5.65,79.4,12.99,61.7,3.3,8.9
5.7,71.1,24.33,54.9,5.9,16.4
5.7,71.1,24.33,54.9,5.9,16.4
5.75,78.8,3.131,50.7,3.3,6.8
5.78,75.5,21.46,48.4,3.8,2.2
5.8,61.3,23.0,52.62,0.07,9.62
5.8,61.3,23.0,52.62,0.07,9.62
5.83,76.4,3.659,46.5,3.1,6.9
5.95,60.0,31.271,43.9,-1.7,5.0
5.98,77.2,28.03,47.0,0.8,0.6
5.98,62.2,31.271,43.9,-1.7,5.0
6.18,69.0,29.39,40.4,5.8,20.0
6.18,71.3,19.42,50.1,6.1,6.4
6.2,70.3,17.59,51.4,8.2,11.7
6.2,58.5,43.6,50.23,-0.19,10.09
6.23,61.7,53.67,31.3,-0.5,3.1
6.3,74.8,22.25,48.3,1.0,2.4
6.4,46.5,60.062,42.6,-1.5,0.9
6.47,74.1,23.24,55.7,5.1,12.7
6.58,68.0,39.14,49.5,6.6,14.2
6.58,81.1,10.04,66.7,5.4,12.5
6.6,66.6,6.144,46.6,3.5,10.1
6.63,62.0,55.03,32.0,-0.3,2.7
6.7,79.8,25.864,45.0,2.9,6.8
6.7,79.8,25.864,45.0,2.9,6.8
6.74,47.4,37.858,38.3,-0.9,0.1
6.8,66.8,24.0,55.4,-0.28,9.09
6.8,67.9,32.8,59.04,0.44,10.3
6.89,46.0,57.018,46.1,-0.8,-1.5
6.9,66.7,15.8,71.36,0.49,10.75
7.0,67.0,30.4,48.13,-0.54,10.46
7.0,61.1,33.8,56.03,0.33,9.52
7.05,47.6,40.512,39.47,0.94,-0.86
7.08,59.6,39.37,31.8,-1.4,0.8
7.15,63.0,24.05,48.4,3.8,4.8
7.2,48.9,33.2796,36.6,0.1,-1.0
7.22,53.8,36.226,40.9,-1.6,3.2
7.23,68.0,20.954,45.9,1.0,8.9
7.25,66.9,23.224,44.0,1.1,9.3
7.26,71.9,21.73,54.4,5.4,6.9
7.28,69.6,5.951,48.9,3.5,9.0
