label,Depth CSF-A (m),Porosity (vol%),NGR total counts (cps),Reflectance L*,Reflectance a*,Reflectance b*
372-U1517C-008F-4-0.7,43.45,43.1,44.969,39.21,1.32,1.05
194-1195A-006H-1-0.8,43.5,73.8,28.8,50.78,-0.16,14.19
194-1194A-006H-1-0.8,43.5,54.8,28.2,52.86,-0.92,9.79
359-U1465A-007H-3-0.61,43.64,70.1,17.731,54.3,3.8,7.3
359-U1465A-007H-3-0.61,43.64,70.1,17.731,54.3,3.8,7.3
317-U1352B-005H-6-0.73,43.65,43.8,53.092,51.4,-1.3,-0.7
194-1195B-005H-5-0.8,43.7,75.1,24.0,48.54,0.36,10.19
359-U1466A-006H-1-0.74,43.74,69.6,10.968,59.4,3.1,7.5
342-U1411B-006H-4-0.38,43.78,68.5,33.18,39.2,-1.1,3.4
194-1197A-005H-7-0.2,43.8,57.1,17.8,62.02,1.49,11.71
194-1198A-006H-1-0.8,43.8,56.2,30.4,56.22,-0.15,10.06
342-U1406A-005H-7-0.13,43.83,81.2,11.43,58.8,-1.3,-0.8
342-U1405A-005H-7-0.16,43.86,83.7,16.1,46.8,-1.7,1.4
342-U1409A-006H-4-0.38,43.98,68.9,14.56,68.8,-1.3,-0.4
342-U1403A-006H-1-0.38,44.18,67.7,23.91,53.1,0.9,10.9
342-U1408A-006H-2-0.38,44.18,68.8,21.6,51.6,0.1,-1.3
342-U1408A-006H-2-0.38,44.18,68.8,21.6,51.6,0.1,-1.3
194-1192A-006H-4-0.8,44.3,65.0,21.6,55.27,-0.17,11.62
317-U1353B-007H-1-1.19,44.39,46.3,61.012,43.4,-1.0,2.0
317-U1353B-007H-1-1.19,44.39,46.3,61.012,43.4,-1.0,2.0
342-U1407A-005H-7-0.14,44.44,72.0,18.27,62.1,-0.9,0.3
317-U1351B-007H-4-0.745,44.44,44.9,50.055,39.3,-1.2,3.9
342-U1406A-006H-1-0.38,44.58,79.7,11.86,55.8,-3.1,1.6
342-U1405A-006H-1-0.38,44.58,84.8,14.15,46.7,-0.5,-1.1
342-U1404A-006H-2-0.38,44.58,84.7,13.98,49.7,0.8,-2.9
372-U1517C-009F-1-1.24,44.64,40.8,45.453,39.57,1.33,-0.6
342-U1410A-005H-6-0.25,44.75,65.7,28.11,57.6,0.5,5.5
342-U1410A-005H-6-0.25,44.75,65.7,28.11,57.6,0.5,5.5
194-1193C-002R-1-0.44,44.84,22.2,17.4,50.12,-0.16,10.11
194-1193B-002R-1-0.48,44.88,18.4,18.2,78.25,1.28,8.19
194-1193B-002R-1-0.48,44.88,18.4,18.2,78.25,1.28,8.19
194-1197A-006H-1-0.8,44.9,61.2,21.4,66.01,1.24,11.66
359-U1465A-007H-4-0.62,44.99,76.5,17.341,51.5,3.7,5.6
194-1194A-006H-2-0.8,45.0,56.4,24.2,51.69,-0.72,8.78
194-1195A-006H-2-0.8,45.0,78.8,18.6,50.72,0.15,10.12
194-1193B-002R-1-0.61,45.01,25.8,15.4,45.83,0.9,6.13
359-U1468A-006H-3-0.74,45.14,75.5,11.828,41.4,2.0,7.6
342-U1407A-006H-1-0.38,45.18,70.8,17.67,63.0,-0.3,-0.9
194-1195B-005H-6-0.8,45.2,78.0,25.8,57.96,0.19,7.64
359-U1467B-006H-3-0.74,45.24,62.1,30.888,46.3,0.4,10.7
359-U1466A-006H-2-0.74,45.24,72.5,28.434,55.9,2.5,7.0
342-U1411B-006H-5-0.38,45.28,71.5,33.48,24.6,-2.6,6.2
194-1198A-006H-2-0.8,45.3,55.3,26.2,61.39,-0.69,8.88
194-1193B-002R-1-1.0,45.4,35.5,13.0,75.64,1.15,12.64
317-U1353A-007H-3-1.25,45.45,44.7,61.137,43.7,-1.3,2.4
317-U1353A-007H-3-1.28,45.48,43.7,61.137,43.7,-1.3,2.4
342-U1409A-006H-5-0.38,45.48,68.2,16.51,67.3,0.7,1.4
317-U1352B-005H-8-0.22,45.64,47.1,52.786,50.3,-1.4,-0.9
342-U1408A-006H-3-0.38,45.68,68.2,22.06,52.4,0.3,0.4
342-U1403A-006H-2-0.38,45.68,68.0,34.35,46.8,2.5,30.2
342-U1410A-005H-7-0.13,45.74,67.3,24.93,55.3,0.5,6.3
194-1192A-006H-5-0.8,45.8,63.5,23.0,53.72,-0.11,10.15
372-U1517C-009F-2-1.18,45.87,38.2,44.002,40.03,1.26,-0.27
359-U1470A-006H-5-0.57,45.88,70.6,13.99,44.3,2.4,3.4
317-U1351B-007H-5-0.745,45.94,47.5,53.482,39.7,-1.7,3.7
317-U1354B-010H-3-1.46,45.96,44.4,55.045,41.0,-1.6,2.9
317-U1354B-010H-3-1.48,45.98,44.9,55.045,41.0,-1.6,2.9
342-U1404A-006H-3-0.38,46.08,84.9,13.67,38.0,-1.5,1.3
342-U1406A-006H-2-0.38,46.08,79.3,11.27,55.0,-1.0,2.9
194-1193B-002R-2-0.28,46.1,29.75,14.4,67.84,0.67,5.86
342-U1405A-006H-2-0.42,46.12,82.8,17.49,47.2,-2.2,0.4
317-U1352B-006H-1-0.11,46.31,45.1,48.658,36.1,1.2,-3.7
359-U1471A-006H-3-0.76,46.36,63.7,24.761,51.1,1.3,5.6
194-1197A-006H-2-0.8,46.4,70.3,19.8,65.68,1.19,11.59
317-U1353A-007H-4-0.7,46.4,47.2,57.818,39.8,-1.0,1.5
359-U1465A-007H-5-0.7,46.46,70.5,14.401,55.9,4.3,8.0
194-1195A-006H-3-0.8,46.5,79.7,24.6,50.77,-0.27,9.57
194-1194A-006H-3-0.8,46.5,64.8,26.2,54.87,-0.55,8.96
342-U1407A-006H-2-0.38,46.68,70.3,17.63,64.4,-0.3,-2.0
317-U1354B-010H-4-0.68,46.68,46.6,45.158,40.4,-1.3,4.6
359-U1466A-006H-3-0.74,46.74,70.6,9.131,49.3,2.5,6.3
342-U1411B-006H-6-0.38,46.78,67.1,37.08,40.9,-1.4,-0.6
194-1198A-006H-3-0.8,46.8,53.9,30.0,51.65,0.0,7.22
372-U1517C-009F-3-0.72,46.81,43.5,43.633,42.17,1.59,-3.16
342-U1410A-006H-1-0.38,46.88,70.2,22.32,53.3,0.5,3.2
342-U1410A-006H-1-0.38,46.88,70.2,22.32,53.3,0.5,3.2
342-U1409A-006H-6-0.38,46.98,68.2,23.34,50.6,1.5,13.1
342-U1409A-006H-6-0.38,46.98,68.2,23.34,50.6,1.5,13.1
317-U1353B-007H-3-0.84,47.04,44.4,60.884,40.2,-0.8,0.8
342-U1408A-006H-4-0.38,47.18,66.8,19.03,67.5,0.4,-2.1
342-U1403A-006H-3-0.38,47.2,69.0,29.6,50.5,4.1,24.5
194-1195B-006H-1-0.8,47.2,73.7,16.8,47.31,0.26,13.7
194-1192A-006H-6-0.8,47.3,64.7,29.0,52.59,-0.29,9.46
317-U1351B-007H-6-0.745,47.44,46.7,48.202,42.1,-1.2,3.7
342-U1404A-006H-4-0.3,47.5,84.8,15.16,41.5,-3.4,4.2
342-U1405A-006H-3-0.38,47.58,85.1,15.0,40.9,-0.7,2.6
342-U1406A-006H-3-0.38,47.58,79.6,10.95,60.6,-1.7,1.0
372-U1517C-009F-4-0.62,47.68,42.0,44.811,40.75,1.15,-2.16
359-U1465A-007H-6-0.6,47.78,67.5,14.054,51.3,4.0,5.7
194-1197A-006H-3-0.8,47.9,64.5,21.0,65.3,0.87,11.14
194-1197A-006H-3-0.8,47.9,64.5,21.0,65.3,0.87,11.14
194-1194A-006H-4-0.8,48.0,53.5,24.0,52.5,-0.66,7.21
194-1195A-006H-4-0.8,48.0,76.7,20.6,54.0,-0.77,13.86
194-1194A-006H-4-0.8,48.0,53.5,24.0,52.5,-0.66,7.21
342-U1411B-006H-7-0.14,48.04,72.7,29.76,46.0,-0.7,-1.4
359-U1468A-006H-5-0.74,48.14,55.1,13.454,53.3,3.9,6.7
359-U1468A-006H-5-0.74,48.14,55.1,13.454,53.3,3.9,6.7
342-U1407A-006H-3-0.38,48.18,70.3,,67.4,-0.6,-1.5
194-1192A-006H-7-0.2,48.2,63.6,21.0,53.57,-0.15,9.09
317-U1354B-010H-5-0.7,48.2,50.9,41.485,47.4,-1.7,6.2
359-U1467B-006H-5-0.74,48.24,63.7,32.098,47.1,0.6,10.5
359-U1466A-006H-4-0.74,48.24,70.0,15.528,53.5,2.0,9.4
342-U1409A-006H-7-0.18,48.28,68.4,23.09,54.9,2.7,14.4
194-1198A-006H-4-0.8,48.3,54.5,23.4,52.39,-0.33,7.07
342-U1410A-006H-2-0.38,48.38,76.0,23.91,56.8,-1.4,1.0
317-U1351B-008H-1-0.765,48.46,46.6,55.945,42.3,-0.9,1.2
342-U1404A-006H-5-0.18,48.58,86.2,13.79,42.3,-1.7,0.1
317-U1353B-007H-4-0.92,48.62,44.8,58.96,43.6,-1.3,2.6
317-U1353B-007H-4-0.94,48.64,45.0,58.96,43.6,-1.3,2.6
342-U1408A-006H-5-0.38,48.68,68.1,24.35,50.9,0.5,1.2
194-1195B-006H-2-0.8,48.7,72.7,20.0,52.51,-0.11,12.35
342-U1403A-006H-4-0.38,48.72,67.6,28.76,49.0,5.0,34.8
342-U1411B-007H-1-0.38,48.78,71.1,32.92,39.1,-2.7,1.7
342-U1409A-007H-1-0.38,48.98,71.6,20.58,55.5,-0.9,-0.8
342-U1405A-006H-4-0.38,49.08,82.3,15.42,49.6,-2.0,0.3
342-U1406A-006H-4-0.38,49.08,77.7,11.55,65.1,-1.6,-0.7
372-U1517C-010F-1-1.02,49.12,42.1,46.003,40.04,1.46,-4.53
372-U1517C-010F-1-1.02,49.12,42.1,46.003,40.04,1.46,-4.53
359-U1471A-006H-5-0.68,49.28,63.5,22.754,47.7,0.6,8.6
194-1192A-007H-1-0.8,49.3,61.5,22.8,50.87,-0.67,9.47
194-1197A-006H-4-0.8,49.4,59.1,17.4,60.8,0.89,9.4
194-1195A-006H-5-0.8,49.5,74.9,25.4,54.47,-0.17,12.21
194-1194A-006H-5-0.8,49.5,63.3,22.4,51.56,-0.49,8.33
342-U1407A-006H-4-0.38,49.68,70.3,17.55,61.7,-1.4,0.0
317-U1354B-010H-6-0.71,49.71,49.7,45.705,39.8,-1.4,4.2
359-U1466A-006H-5-0.74,49.74,68.2,12.604,53.9,1.9,8.3
194-1198A-006H-5-0.8,49.8,50.4,29.2,54.44,-0.71,8.11
342-U1410A-006H-3-0.38,49.88,70.1,25.7,51.2,-0.5,1.4
317-U1351B-008H-2-0.765,49.96,47.4,54.155,41.7,-1.6,6.7
342-U1408A-006H-6-0.21,50.01,67.4,20.67,57.5,-0.4,1.2
317-U1353B-008H-1-1.2,50.1,46.4,60.649,41.2,-1.2,0.7
194-1195B-006H-3-0.8,50.2,70.4,21.6,38.62,0.01,9.03
342-U1403A-006H-5-0.38,50.24,67.9,28.89,27.8,8.0,43.7
359-U1470A-007H-1-0.67,50.27,63.5,20.328,50.4,3.4,8.0
342-U1411B-007H-2-0.38,50.28,68.8,33.67,41.4,-1.3,-1.0
317-U1352B-006H-3-1.12,50.32,45.6,53.396,44.5,-1.2,-0.5
359-U1467B-006H-7-0.4,50.4,62.6,20.775,49.4,0.7,8.3
372-U1517C-010F-2-1.11,50.4,39.8,44.922,40.98,1.35,-1.11
342-U1409A-007H-2-0.38,50.48,70.6,22.45,52.3,-0.7,2.4
342-U1405A-006H-5-0.38,50.58,86.4,14.68,49.1,-3.3,0.8
342-U1406A-006H-5-0.38,50.58,77.3,10.79,53.4,-1.0,3.2
359-U1465A-008H-1-0.59,50.59,71.5,18.713,50.9,4.2,8.2
359-U1465A-008H-1-0.59,50.59,71.5,18.713,50.9,4.2,8.2
194-1197A-006H-5-0.8,50.9,64.5,15.6,65.58,1.09,12.01
359-U1466A-006H-6-0.44,50.94,75.0,8.973,46.3,1.9,6.6
359-U1466A-006H-6-0.44,50.94,75.0,8.973,46.3,1.9,6.6
342-U1408A-006H-7-0.15,50.95,67.3,18.53,62.1,0.3,-1.6
194-1195A-006H-6-0.8,51.0,75.6,25.2,55.02,-0.51,10.82
194-1194A-006H-6-0.8,51.0,53.7,29.0,50.28,-0.82,8.37
342-U1407A-006H-5-0.3,51.1,70.7,17.87,67.1,-0.7,-2.0
317-U1354B-011H-1-0.71,51.21,45.6,59.815,42.9,-0.1,-1.4
317-U1353B-008H-2-0.84,51.24,45.2,66.594,38.9,-1.2,0.7
194-1198A-006H-6-0.8,51.3,47.5,32.0,53.66,0.26,8.46
342-U1410A-006H-4-0.38,51.38,71.6,29.86,51.8,-0.3,2.4
317-U1351B-008H-3-0.795,51.5,48.0,44.838,46.0,-1.7,5.5
359-U1468A-007H-1-0.66,51.56,45.4,22.458,55.9,4.2,8.0
194-1198A-006H-7-0.19,51.7,49.4,37.6,56.36,0.26,8.27
359-U1466A-006H-7-0.3,51.7,72.3,19.211,46.7,2.8,9.2
194-1198A-006H-7-0.19,51.7,49.4,37.6,56.36,0.26,8.27
194-1195B-006H-4-0.8,51.7,82.1,21.2,54.31,-0.31,11.75
359-U1465A-008H-2-0.54,51.72,63.5,17.559,52.2,4.1,5.5
359-U1467B-007H-1-0.75,51.75,62.1,33.218,45.9,0.9,9.9
342-U1403A-006H-6-0.38,51.76,70.4,26.29,42.8,5.8,16.8
342-U1411B-007H-3-0.38,51.78,68.4,34.2,46.7,0.7,-2.4
372-U1517C-010F-3-1.18,51.79,38.4,45.154,38.67,1.09,-2.07
194-1193C-003R-1-0.44,51.84,22.2,17.4,50.12,-0.16,10.11
194-1194A-006H-7-0.2,51.9,54.1,29.0,55.46,-1.1,11.42
359-U1471A-006H-7-0.3,51.9,63.8,19.321,47.2,1.2,8.9
342-U1409A-007H-3-0.38,51.98,68.5,24.19,56.8,-1.0,1.0
342-U1406A-006H-6-0.38,52.08,76.9,12.1,59.1,-2.5,1.3
342-U1405A-006H-6-0.38,52.08,84.6,13.9,52.5,-2.2,0.8
194-1192A-007H-3-0.8,52.3,65.0,17.8,54.25,-0.37,11.23
194-1197A-006H-6-0.8,52.4,63.6,15.4,68.57,2.69,17.6
372-U1517C-010F-4-0.65,52.51,40.6,44.067,41.07,1.66,-3.46
342-U1404A-007H-1-0.38,52.58,84.3,27.35,40.4,0.7,0.4
342-U1404A-007H-1-0.38,52.58,84.3,27.35,40.4,0.7,0.4
317-U1352B-006H-5-0.59,52.79,45.6,53.773,42.8,-0.6,-1.3
342-U1410A-006H-5-0.38,52.88,65.6,31.05,49.1,0.1,2.8
342-U1410A-006H-5-0.38,52.88,65.6,31.05,49.1,0.1,2.8
359-U1470A-007H-3-0.69,52.9,64.2,10.614,51.7,2.1,3.7
359-U1465A-008H-3-0.64,52.93,68.7,19.314,50.3,4.0,5.7
359-U1465A-008H-3-0.64,52.93,68.7,19.314,50.3,4.0,5.7
194-1195A-007H-1-0.8,53.0,62.9,26.0,52.5,-0.56,12.98
317-U1351B-008H-4-0.795,53.0,42.0,57.748,39.2,-0.9,-0.5
194-1194A-007H-1-0.8,53.0,59.7,26.2,55.92,-1.07,10.92
342-U1403A-006H-7-0.13,53.01,71.2,25.11,43.8,4.0,6.0
359-U1471A-007H-1-1.0,53.1,64.0,26.221,48.4,1.2,10.5
359-U1471A-007H-1-1.0,53.1,64.0,26.221,48.4,1.2,10.5
342-U1406A-006H-7-0.15,53.11,78.4,12.07,58.2,-1.9,1.4
194-1195B-006H-5-0.8,53.2,76.0,19.2,49.59,-0.07,10.46
317-U1353A-008H-4-0.7,53.24,44.2,57.672,41.8,-1.1,4.0
359-U1466A-007H-1-0.74,53.24,69.7,10.388,55.7,3.0,7.1
317-U1353A-008H-4-0.7,53.24,44.2,57.672,41.8,-1.1,4.0
342-U1411B-007H-4-0.38,53.28,73.4,32.52,50.0,-1.4,-1.4
194-1198A-007H-1-0.8,53.3,54.5,22.4,60.51,-1.21,9.37
194-1197A-006H-7-0.2,53.3,60.3,17.8,68.22,3.06,17.24
342-U1405A-006H-7-0.17,53.37,84.6,14.34,52.5,-2.2,1.5
342-U1409A-007H-4-0.38,53.49,69.4,25.56,59.2,1.3,-3.3
342-U1403A-007H-1-0.38,53.68,70.7,27.94,42.5,6.5,15.9
194-1192A-007H-4-0.8,53.8,66.8,22.2,52.49,-0.16,11.26
317-U1353A-008H-4-1.26,53.8,45.7,58.321,47.6,-1.2,4.1
317-U1353A-008H-4-1.28,53.82,44.3,58.321,47.6,-1.2,4.1
372-U1517C-011F-1-1.18,53.98,43.4,42.532,42.1,1.5,-1.43
342-U1405A-007H-1-0.37,54.07,82.8,17.96,48.3,-3.6,2.6
342-U1406A-007H-1-0.38,54.08,81.0,12.49,53.6,-0.9,3.7
342-U1404A-007H-2-0.43,54.13,84.2,12.49,28.4,-1.3,9.2
359-U1465A-008H-4-0.63,54.19,66.0,14.544,52.4,4.5,7.6
194-1197A-007H-1-0.6,54.2,55.9,18.2,60.02,2.53,14.05
342-U1410A-006H-6-0.38,54.38,65.9,32.21,49.0,0.6,7.6
359-U1468A-007H-3-0.53,54.43,46.3,25.65,37.6,3.1,2.9
317-U1351B-008H-5-0.765,54.46,47.1,55.335,38.4,-1.3,1.3
317-U1351B-008H-5-0.765,54.46,47.1,55.335,38.4,-1.3,1.3
194-1194A-007H-2-0.8,54.5,59.5,25.8,56.28,-0.79,10.77
194-1195A-007H-2-0.8,54.5,79.5,22.8,49.77,-0.46,11.1
342-U1407A-007H-1-0.38,54.68,67.9,16.32,66.2,0.1,-2.2
194-1195B-006H-6-0.8,54.7,77.4,24.6,54.69,-0.03,12.73
194-1195B-006H-6-0.8,54.7,77.4,24.6,54.69,-0.03,12.73
359-U1467B-007H-3-0.74,54.74,60.8,21.408,46.6,0.5,15.2
359-U1466A-007H-2-0.74,54.74,77.6,8.218,45.8,2.6,4.6
342-U1411B-007H-5-0.38,54.79,65.5,38.58,43.4,-1.4,-0.3
342-U1411B-007H-5-0.38,54.79,65.5,38.58,43.4,-1.4,-0.3
194-1198A-007H-2-0.8,54.8,50.3,23.4,57.0,-1.28,8.06
317-U1352B-006H-7-0.11,54.81,46.4,48.462,40.3,-0.1,-1.7
317-U1353B-008H-4-1.46,54.86,46.6,42.164,45.0,-1.6,5.5
317-U1353B-008H-4-1.48,54.88,46.0,42.164,45.0,-1.6,5.5
317-U1354B-011H-3-1.45,54.95,44.3,56.951,45.0,-1.0,1.2
317-U1354B-011H-3-1.48,54.98,44.7,56.951,45.0,-1.0,1.2
342-U1409A-007H-5-0.38,54.99,67.8,23.77,52.9,-1.1,0.8
372-U1517C-011F-2-0.97,55.07,42.1,41.758,39.43,1.3,-2.54
342-U1403A-007H-2-0.38,55.18,72.7,29.34,25.9,4.5,15.8
194-1192A-007H-5-0.8,55.3,60.7,20.8,52.44,-0.12,11.03
359-U1465A-008H-5-0.44,55.39,66.2,26.459,53.5,4.4,8.2
342-U1408A-007H-3-0.63,55.43,66.6,22.09,59.3,0.5,0.2
359-U1470A-007H-5-0.7,55.53,61.0,12.361,52.8,2.6,6.5
342-U1405A-007H-2-0.37,55.57,81.2,19.25,47.5,-2.1,0.9
342-U1410A-006H-7-0.16,55.57,66.6,28.34,48.8,-0.6,1.6
342-U1404A-007H-3-0.38,55.58,84.6,13.61,36.4,-2.0,6.1
342-U1406A-007H-2-0.38,55.58,77.4,12.43,61.0,-1.1,0.4
359-U1465C-002F-1-0.6,55.6,67.3,12.951,52.3,4.1,6.1
372-U1517C-011F-3-0.6,55.8,40.9,45.07,40.54,1.24,-2.83
359-U1471A-007H-3-0.76,55.86,60.6,17.948,49.3,1.2,10.6
317-U1351B-008H-6-0.725,55.93,45.6,52.828,38.0,-1.5,2.4
194-1194A-007H-3-0.8,56.0,54.6,32.4,53.52,-1.05,7.56
194-1195A-007H-3-0.8,56.0,74.7,24.8,53.28,-0.27,12.53
194-1195A-007H-3-0.8,56.0,74.7,24.8,53.28,-0.27,12.53
359-U1465A-008H-6-0.26,56.1,73.3,24.077,49.6,4.1,7.2
317-U1353B-008H-6-0.25,56.15,48.1,41.166,43.1,-2.1,6.5
317-U1353B-008H-6-0.25,56.15,48.1,41.166,43.1,-2.1,6.5
342-U1407A-007H-2-0.38,56.18,68.2,18.4,62.0,-0.9,-0.4
359-U1466A-007H-3-0.74,56.24,71.5,22.061,51.6,2.8,5.0
342-U1411B-007H-6-0.38,56.29,63.2,38.55,40.4,-1.5,1.5
194-1198A-007H-3-0.8,56.3,54.5,28.2,63.44,-0.86,10.05
342-U1410A-007H-1-0.38,56.38,67.1,25.19,53.2,-0.5,2.1
342-U1409A-007H-6-0.38,56.5,68.5,24.51,56.3,-2.0,1.9
317-U1354B-011H-5-0.09,56.59,44.2,59.615,46.7,0.2,-1.0
342-U1403A-007H-3-0.38,56.68,70.2,33.58,49.0,4.5,15.7
342-U1408A-007H-4-0.38,56.68,67.4,22.63,51.3,1.6,1.2
342-U1408A-007H-4-0.38,56.68,67.4,22.63,51.3,1.6,1.2
194-1195B-007H-1-0.8,56.7,69.5,23.2,55.14,-0.53,12.98
194-1192A-007H-6-0.8,56.8,62.3,22.4,51.18,-0.17,9.54
342-U1405A-007H-3-0.33,57.03,82.2,17.93,48.3,-0.7,-1.7
342-U1405A-007H-3-0.33,57.03,82.2,17.93,48.3,-0.7,-1.7
342-U1406A-007H-3-0.38,57.08,79.9,13.56,59.6,-1.5,0.2
342-U1404A-007H-4-0.38,57.08,84.4,14.22,43.1,-0.1,2.6
372-U1517C-011F-4-1.16,57.12,38.5,50.041,41.37,1.37,-2.1
317-U1352B-007H-2-0.11,57.31,49.1,45.51499999999999,43.7,-0.4,-1.8
317-U1353B-009H-1-0.7,57.5,49.6,35.638,38.3,-1.5,4.6
194-1194A-007H-4-0.8,57.5,51.6,26.4,53.85,-0.72,10.08
194-1195A-007H-4-0.8,57.5,80.5,21.4,55.2,-0.14,11.32
342-U1411B-007H-7-0.14,57.55,58.9,40.98,38.9,-0.4,0.0
359-U1468A-007H-5-0.69,57.59,52.2,15.854,70.2,5.3,9.1
359-U1467B-007H-5-0.63,57.63,62.2,33.271,48.2,0.7,11.3
342-U1407A-007H-3-0.38,57.68,68.1,21.02,59.3,-0.3,-1.0
194-1192A-007H-7-0.2,57.7,63.0,19.6,49.69,-0.26,7.62
359-U1466A-007H-4-0.74,57.74,67.8,14.781,53.2,3.4,4.5
194-1198A-007H-4-0.8,57.8,53.5,27.4,61.9,-0.98,11.52
342-U1409A-007H-7-0.18,57.8,68.9,19.19,64.5,0.1,-0.9
194-1198A-007H-4-0.8,57.8,53.5,27.4,61.9,-0.98,11.52
342-U1410A-007H-2-0.38,57.9,60.5,37.83,45.5,-0.2,4.1
317-U1351B-009H-1-0.795,58.0,47.6,54.858,42.8,-2.2,3.3
342-U1403A-007H-4-0.38,58.18,71.8,31.64,35.0,6.5,20.0
342-U1408A-007H-5-0.38,58.18,65.9,24.22,49.6,1.3,0.1
194-1195B-007H-2-0.8,58.2,76.6,15.4,55.9,0.16,10.54
359-U1465C-002F-3-0.5,58.22,68.4,15.469,50.0,4.3,9.1
342-U1411B-008H-1-0.38,58.28,67.7,36.8,46.0,-1.3,-1.4
342-U1404A-007H-5-0.19,58.39,85.2,13.73,38.6,-2.1,2.5
342-U1404A-007H-5-0.19,58.39,85.2,13.73,38.6,-2.1,2.5
342-U1409A-008H-1-0.38,58.48,70.0,19.44,54.3,-2.6,-0.9
372-U1517C-012F-1-1.01,58.51,44.2,45.499,38.75,1.02,-2.57
342-U1405A-007H-4-0.37,58.57,85.8,15.85,47.4,-2.1,0.6
342-U1406A-007H-4-0.38,58.58,78.0,11.68,59.7,-0.7,1.7
194-1192A-008H-1-0.8,58.8,59.6,27.2,51.5,-0.2,10.16
194-1195A-007H-5-0.8,59.0,76.3,22.4,57.11,-0.62,12.95
194-1194A-007H-5-0.8,59.0,54.7,22.0,59.16,-0.96,9.25
359-U1471A-007H-5-0.92,59.02,60.6,24.947,46.5,1.1,9.3
359-U1471A-007H-5-0.92,59.02,60.6,24.947,46.5,1.1,9.3
342-U1407A-007H-4-0.38,59.18,63.8,18.88,66.3,-1.9,-0.3
342-U1410A-007H-3-0.15,59.2,62.8,31.07,51.2,-1.6,2.1
359-U1466A-007H-5-0.74,59.24,69.5,8.171,53.8,3.5,6.2
194-1198A-007H-5-0.8,59.3,53.1,25.8,55.14,-0.93,8.37
317-U1351B-009H-2-0.795,59.5,43.7,56.585,33.1,-1.4,1.2
372-U1517C-012F-2-0.89,59.59,44.6,42.078,42.68,1.48,-3.56
342-U1403A-007H-5-0.38,59.68,70.8,29.94,52.1,5.2,12.2
342-U1408A-007H-6-0.38,59.68,67.9,23.67,57.3,-0.9,-0.5
194-1195B-007H-3-0.8,59.7,68.3,28.6,46.55,0.56,12.68
342-U1411B-008H-2-0.38,59.78,55.0,41.35,31.8,-2.5,6.4
317-U1354B-012H-2-1.46,59.88,41.7,51.237,47.9,-1.2,1.9
317-U1354B-012H-2-1.48,59.9,42.4,51.237,47.9,-1.2,1.9
317-U1354B-012H-2-1.48,59.9,42.4,51.237,47.9,-1.2,1.9
342-U1410A-007H-4-0.3,59.97,61.7,36.73,50.1,-1.3,2.1
342-U1409A-008H-2-0.38,59.98,68.0,19.68,58.4,-1.9,-0.8
359-U1465A-009H-1-0.49,59.99,54.5,17.049,45.3,4.3,5.6
342-U1405A-007H-5-0.37,60.07,83.2,18.83,42.9,-2.2,1.9
342-U1406A-007H-5-0.38,60.08,74.1,11.82,61.9,-0.9,-1.2
359-U1467B-007H-7-0.28,60.28,62.9,28.788,43.0,0.6,13.6
359-U1465C-003F-1-0.59,60.29,69.3,27.522,46.3,4.3,7.2
194-1192A-008H-2-0.8,60.3,58.6,23.8,50.05,-0.34,9.76
194-1194A-007H-6-0.8,60.5,53.6,25.2,58.01,-1.09,8.89
194-1195A-007H-6-0.8,60.5,78.5,22.4,56.74,-0.18,12.17
359-U1466A-007H-6-0.52,60.53,70.7,12.14,55.7,3.5,4.4
317-U1354B-012H-3-0.7,60.62,41.4,57.285,49.2,0.0,-0.7
372-U1517C-012F-3-0.88,60.68,46.7,43.064,42.91,1.17,-1.82
342-U1407A-007H-5-0.38,60.68,66.7,20.13,62.1,-0.5,-0.7
194-1198A-007H-6-0.8,60.8,54.8,22.2,65.31,-0.84,10.43
359-U1465A-009H-2-0.39,60.9,74.1,24.717,46.6,3.3,6.8
342-U1408A-007H-7-0.18,60.98,65.9,23.43,47.4,-0.3,3.4
342-U1408A-007H-7-0.18,60.98,65.9,23.43,47.4,-0.3,3.4
317-U1351B-009H-3-0.795,61.0,46.0,58.282,49.6,-1.9,1.6
359-U1470A-008H-2-0.5,61.02,52.9,20.163,64.3,3.2,6.0
359-U1471A-007H-7-0.5,61.11,62.4,28.176,44.4,0.9,11.6
359-U1468A-008H-1-0.74,61.14,53.2,26.881,59.1,4.7,6.9
342-U1403A-007H-6-0.38,61.18,72.2,30.37,60.5,12.4,14.6
342-U1410A-007H-5-0.3,61.19,60.1,36.31,53.7,0.6,0.5
317-U1352B-007H-4-0.99,61.19,47.6,46.525,44.7,-0.1,-1.0
194-1195B-007H-4-0.8,61.2,75.3,24.4,54.26,0.11,14.51
359-U1467B-008H-1-0.74,61.24,61.3,22.264,50.7,1.1,11.1
342-U1411B-008H-3-0.38,61.29,63.0,46.74,43.2,-0.8,0.9
372-U1517C-012F-4-0.62,61.34,39.6,46.389,39.06,1.29,-2.11
194-1194A-007H-7-0.2,61.4,61.5,32.2,58.05,-0.82,8.78
342-U1405A-007H-6-0.23,61.43,83.0,18.81,47.5,-3.3,0.9
342-U1409A-008H-3-0.38,61.48,68.4,17.29,65.4,-0.4,-1.2
342-U1406A-007H-6-0.38,61.58,76.7,10.35,61.4,-1.0,-0.7
359-U1465A-009H-3-0.37,61.65,74.1,24.031,46.9,3.9,7.0
342-U1408A-008H-1-0.38,61.68,67.7,19.64,55.6,0.5,-0.9
