DEPTH_WMSF,HCGR,HFK,HTHO,HURA,IDPH,IMPH,SFLU,lithology
0.088,1.9945,0.0354,0.4317,0.0501,1950,1950,0.1589,Interbedded sand and mud 
0.2404,3.409,0.0708,0.6778,0.0352,1950,1950,0.1589,Interbedded sand and mud 
0.3928,5.6734,0.1203,1.1137,0.1518,1950,1950,0.1589,Interbedded sand and mud 
0.5452,9.4665,0.2242,1.7213,0.0793,1950,1950,0.1589,Interbedded clay and mud
0.6976,9.9356,0.2286,1.8462,0.4811,1950,1950,0.1589,Interbedded clay and mud
0.85,12.9733,0.3313,2.2184,0.376,1950,1950,0.1589,Interbedded clay and mud
1.0024,12.9535,0.3158,2.3031,0.532,1950,1950,0.1589,Interbedded clay and mud
1.1548,11.1538,0.3151,1.7301,0.6712,1950,1950,0.1589,Interbedded clay and mud
1.3072,9.9204,0.2674,1.614,0.7166,1950,1950,0.1589,Interbedded clay and mud
1.4596,8.178,0.2149,1.3629,0.81,1950,1950,0.1589,Interbedded clay and mud
1.612,9.5363,0.2651,1.5044,1.0301,,1950,0.1589,Interbedded clay and mud
1.7644,10.9225,0.2696,1.9221,1.1843,1950,1950,0.1589,Interbedded clay and mud
1.9168,14.3588,0.3843,2.352,1.2324,1950,1950,0.1589,Interbedded clay and mud
2.0692,14.8309,0.3846,2.5018,0.9771,1950,1950,0.1589,Interbedded sand and mud 
2.2216,13.7748,0.3627,2.2915,0.9247,1950,1950,0.1589,Interbedded clay and mud
2.374,15.95,0.4058,2.736,0.5944,1950,1950,0.1589,Interbedded sand and mud 
2.5264,15.8727,0.3556,3.0052,0.5629,1950,1950,0.1589,Interbedded sand and mud 
2.6788,17.8121,0.3869,3.4434,0.3241,1950,1950,0.1589,Interbedded clay and mud
2.8312,17.5424,0.3729,3.4389,0.1568,1950,1950,0.1589,Interbedded clay and mud
2.9836,18.5327,0.4025,3.5829,0.2396,1950,1950,0.1589,Interbedded clay and mud
3.136,18.9823,0.4616,3.3815,0.1129,1950,1950,0.1589,Interbedded clay and mud
3.2884,23.4801,0.6072,,-0.1518,1950,1950,0.1589,Interbedded clay and mud
3.4408,27.35,0.7324,4.4776,-0.3069,1950,1950,0.1589,Sandy Mud
3.5932,30.8381,0.7947,5.2312,0.0344,1950,1950,0.1589,Sandy Mud
3.7456,34.5336,0.9405,5.5618,0.1447,1950,1950,0.1589,Sandy Mud
3.898,35.3121,0.9513,5.7483,0.1566,1950,1950,0.1589,Sandy Mud
4.0504,29.8175,0.8221,4.7438,0.2962,1950,1950,0.1589,Interbedded clay and mud
4.2028,24.5257,0.6954,3.7893,0.4506,1950,1950,0.1589,Interbedded clay and mud
4.3552,19.5238,0.5507,3.0333,0.4763,1950,1950,0.1589,Interbedded sand and mud 
4.5076,17.5015,0.4964,2.7028,0.5332,1950,1950,0.1589,Interbedded sand and mud 
4.66,,0.4612,2.4007,0.3165,1950,1950,0.1589,Interbedded sand and mud 
4.8124,16.359,0.4669,2.5095,0.2813,1950,1950,0.1589,Interbedded sand and mud 
4.9648,18.0742,0.4966,2.8855,0.1888,1950,1950,0.1589,Interbedded sand and mud 
5.1172,17.692,0.498,2.7547,0.3584,1950,1950,0.1589,Interbedded sand and mud 
5.2696,21.0801,0.6116,3.1753,0.3964,1950,1950,0.1589,Interbedded sand and mud 
5.422,25.1413,0.6786,4.0848,0.5294,1950,1950,0.1589,Interbedded clay and mud
5.5744,29.4157,0.7633,4.9587,0.4943,1950,1950,0.1589,Interbedded clay and mud
5.7268,30.7819,0.7993,5.1855,0.3021,1950,1950,0.1589,Interbedded clay and mud
5.8792,30.1695,0.8162,4.8903,0.1902,1950,1950,0.1589,Interbedded clay and mud
6.0316,26.4733,0.7728,3.9599,0.2476,1950,1950,0.1589,Interbedded clay and mud
6.184,25.5569,0.723,3.9577,0.2891,1950,1950,0.1589,Interbedded clay and mud
6.3364,24.5149,0.6882,3.8278,0.2564,1950,1950,0.1589,Interbedded clay and mud
6.4888,23.3033,0.6615,3.596,0.3796,1950,1950,0.1589,Interbedded clay and mud
6.6412,18.4912,0.5384,2.7745,0.5083,1950,1950,0.1589,Interbedded sand and mud 
6.7936,19.4966,0.5714,2.9035,0.5318,1950,1950,0.1589,Interbedded sand and mud 
6.946,19.2199,0.5561,2.9042,0.7897,1950,1950,0.1589,Interbedded sand and mud 
7.0984,21.1961,0.6654,2.8978,0.8855,1950,1950,0.1589,Interbedded sand and mud 
7.2508,20.0724,0.648,2.6393,1.2415,1950,1950,0.1589,Interbedded clay and mud
7.4032,22.3024,0.7089,2.9977,1.3424,1950,1950,0.1589,Interbedded sand and mud 
7.5556,21.1175,0.683,2.7694,1.6349,1950,1950,0.1589,Interbedded clay and mud
7.708,21.132,0.6808,2.7872,1.3833,1950,1950,0.1589,Interbedded clay and mud
7.8604,19.1394,0.6247,2.477,1.0574,1950,1950,0.1589,Interbedded sand and mud 
8.0128,16.0416,0.5323,2.025,0.9923,1950,1950,0.1589,Interbedded clay and mud
8.3176,15.886,0.4994,2.1682,0.9872,1950,1950,0.1589,Interbedded clay and mud
8.47,16.4858,0.5032,2.3379,0.9115,1950,1950,0.1589,Interbedded sand and mud 
8.6224,17.5576,0.5318,2.5143,0.653,1950,1950,0.1589,Interbedded sand and mud 
8.7748,17.325,0.4821,2.7308,0.587,1950,1950,0.1589,Interbedded sand and mud 
8.9272,18.8229,0.5808,2.6329,0.512,1950,1950,0.1589,Interbedded sand and mud 
9.0796,19.1981,0.6272,2.4817,0.5883,1950,1950,0.1589,Interbedded sand and mud 
9.232,19.9605,0.6578,2.5467,0.3437,1950,1950,0.1589,Interbedded sand and mud 
9.3844,18.4238,0.6223,2.262,0.3828,1950,1950,0.1589,Interbedded sand and mud 
9.5368,16.7134,0.6009,1.8387,0.4915,1950,1950,0.1589,Interbedded sand and mud 
9.6892,18.4474,0.6738,1.9677,0.4905,1950,1950,0.1589,Interbedded sand and mud 
9.8416,20.4922,0.6879,2.5406,0.262,1950,1950,0.1589,Interbedded sand and mud 
9.994,18.8385,0.6452,2.2607,0.3412,1950,1950,0.1589,Interbedded sand and mud 
10.1464,17.3745,0.5362,2.4297,0.1876,1950,1950,0.1589,Interbedded sand and mud 
10.2988,14.7441,0.4433,2.1305,0.119,1950,1950,0.1589,Interbedded sand and mud 
10.4512,13.8178,0.3742,2.2377,-0.0143,1950,1950,0.1589,Interbedded sand and mud 
10.6036,14.2993,0.3445,2.5658,-0.0489,1950,1950,0.1589,Interbedded sand and mud 
10.756,13.9145,0.3425,2.4541,-0.0341,1950,1950,0.1589,Interbedded sand and mud 
10.9084,13.8647,0.3093,2.6326,-0.1332,1950,1950,0.1589,Interbedded sand and mud 
11.0608,14.1828,0.2763,2.9279,-0.1141,1950,1950,0.1589,Interbedded clay and mud
11.2132,14.5699,0.2742,3.064,-0.0946,1950,1950,0.1589,Interbedded clay and mud
11.3656,14.328,0.2526,3.1132,0.0648,1950,1950,0.1589,Interbedded clay and mud
11.518,12.8072,0.2176,2.8303,0.3345,1950,1950,0.1589,Interbedded clay and mud
11.6704,14.3294,0.2428,3.1709,0.2762,1950,1950,0.1589,Interbedded clay and mud
11.8228,15.0729,0.2611,3.3017,0.4043,1950,1950,0.1589,Interbedded clay and mud
11.9752,14.521,0.2666,3.0928,,1950,1950,0.1589,Interbedded clay and mud
12.1276,10.6371,0.2234,2.1012,0.6057,1950,1950,0.1589,Interbedded clay and mud
12.28,8.5235,0.165,1.7659,0.5027,1950,1950,0.1589,Interbedded clay and mud
12.4324,7.2439,0.1134,1.6577,0.5865,1950,1950,0.1589,Interbedded clay and mud
12.5848,7.3313,0.1023,1.7506,0.6317,1950,1950,0.1589,Interbedded clay and mud
12.7372,7.7913,0.0968,1.9301,0.7357,1950,1950,0.1589,Interbedded clay and mud
12.8896,8.8333,0.1085,2.196,0.663,1950,1950,0.1589,Interbedded clay and mud
13.042,9.3409,0.1156,2.3168,0.5391,1950,1950,0.1589,Interbedded clay and mud
13.1944,,0.1107,1.884,0.3687,1950,1950,0.1589,Interbedded clay and mud
13.3468,6.3887,0.0832,1.5605,0.4516,1950,1950,0.1589,Interbedded clay and mud
13.4992,5.2795,0.0764,1.2446,0.4506,1950,1950,0.1589,Interbedded clay and mud
13.6516,5.3574,0.0688,1.3143,0.563,1950,1950,0.1589,Interbedded clay and mud
13.804,4.6109,0.0682,1.0787,0.6153,1950,1950,0.1589,Interbedded clay and mud
13.9564,4.7178,0.096,0.9498,0.655,1950,1950,0.1589,Interbedded clay and mud
14.1088,5.0001,0.1052,0.9867,0.3924,1950,1950,0.1589,Interbedded clay and mud
14.2612,4.598,0.1035,0.8678,0.4351,1950,1950,0.1589,Interbedded clay and mud
14.4136,4.7856,0.1147,0.8625,0.4918,1950,1950,0.1589,Interbedded clay and mud
14.566,4.6268,0.1232,0.7616,0.5912,1950,1950,0.1589,Interbedded clay and mud
14.7184,4.5724,0.124,0.7391,0.5689,1950,1950,0.1589,Interbedded clay and mud
14.8708,3.8097,0.1181,0.5292,0.4697,1950,1950,0.1589,Interbedded clay and mud
15.0232,3.997,0.1214,0.5703,0.3354,1950,1950,0.1589,Interbedded sand and mud 
15.1756,3.837,0.1069,0.6036,0.3155,1950,1950,0.1589,Interbedded sand and mud 
15.328,4.2572,0.1282,0.614,0.2445,1950,1950,0.1589,Interbedded sand and mud 
15.4804,4.4638,0.124,0.7043,0.113,1950,1950,0.1589,Interbedded sand and mud 
15.6328,4.4666,0.1246,0.7022,0.0898,1950,1950,0.1589,Interbedded sand and mud 
15.7852,3.0636,0.0803,0.5118,0.2129,1950,1950,0.1589,Interbedded sand and mud 
15.9376,3.1068,0.0782,0.5378,0.2563,1950,1950,0.1589,Interbedded sand and mud 
16.09,2.8368,0.0706,0.4958,0.18,1950,1950,0.1589,Interbedded sand and mud 
16.2424,2.4021,0.0547,0.4496,0.246,1950,1950,0.1589,Interbedded sand and mud 
16.3948,2.359,0.0504,0.4609,0.2291,1950,1950,0.1589,Interbedded sand and mud 
16.5472,2.948,0.0581,0.6047,0.2573,1950,1950,0.1589,Interbedded sand and mud 
16.6996,3.8317,0.0793,0.7639,0.2907,1950,1950,0.1589,Interbedded sand and mud 
16.852,4.5686,0.1169,0.78,0.346,1950,1950,0.1589,Interbedded clay and mud
17.0044,5.6725,0.1521,0.9273,0.3615,1950,1950,0.1589,Interbedded clay and mud
17.1568,5.3315,0.164,0.7484,0.4938,1950,1950,0.1589,Interbedded clay and mud
17.3092,4.6055,0.1559,0.5631,0.6366,1950,1950,0.1589,Interbedded clay and mud
17.4616,5.6228,0.1695,0.8095,0.5879,1950,1950,0.1589,Interbedded clay and mud
17.614,6.0598,0.1737,0.9247,0.6015,1950,1950,0.1589,Interbedded clay and mud
17.7664,5.6293,0.16,0.8673,0.67,1950,1950,0.1589,Interbedded clay and mud
17.9188,6.6039,0.1655,1.147,0.727,1950,1950,0.1589,Interbedded clay and mud
18.0712,6.8852,0.1671,1.2282,0.8045,1950,1950,0.1589,Interbedded clay and mud
18.2236,6.6476,0.1786,1.0848,0.7611,1950,1950,0.1589,Interbedded clay and mud
18.376,6.0768,0.1594,1.0141,0.5674,1950,1950,0.1589,Interbedded clay and mud
18.5284,5.5628,0.1321,1.0092,0.5783,1950,1950,0.1589,Interbedded clay and mud
18.6808,5.4708,0.1019,1.1563,0.6344,1950,1950,0.1589,Interbedded clay and mud
18.8332,5.8185,0.1035,1.2588,0.4639,1950,1950,0.1589,Interbedded clay and mud
18.9856,6.7346,0.111,1.5086,0.2439,,1950,0.1589,Interbedded clay and mud
19.138,5.655,0.0894,1.289,0.1658,1950,1950,0.1589,Interbedded sand and mud 
19.2904,5.1744,,1.1348,0.1578,1950,1950,0.1589,Interbedded sand and mud 
19.4428,5.3591,0.108,1.085,0.1107,1950,1950,0.1589,Interbedded sand and mud 
19.5952,6.2074,0.1467,1.1303,0.0726,1950,1950,0.1589,Interbedded sand and mud 
19.7476,6.1013,0.1486,1.0854,0.1386,1950,1950,0.1589,Interbedded sand and mud 
19.9,5.5904,0.1139,1.1248,0.2033,1950,1950,0.1589,Interbedded sand and mud 
20.0524,5.1156,0.1129,0.9786,0.2637,1950,1950,0.1589,Interbedded sand and mud 
20.2048,5.3665,0.1192,1.0222,0.237,1950,1950,0.1589,Interbedded sand and mud 
20.3572,5.7842,0.1471,0.9928,0.2475,1950,1950,0.1589,Interbedded clay and mud
20.5096,6.8506,0.1817,1.1317,0.2963,1950,1950,0.1589,Interbedded clay and mud
20.662,,0.2092,1.308,0.3526,1950,1950,0.1589,Interbedded clay and mud
20.8144,7.4076,0.2153,1.1135,0.3757,1950,1950,0.1589,Interbedded clay and mud
20.9668,7.8442,0.2135,1.2639,0.3626,1950,1950,0.1589,Interbedded clay and mud
21.1192,8.1052,0.205,1.3974,0.2821,1950,1950,0.1589,Interbedded clay and mud
21.2716,8.2577,0.2006,1.4722,0.182,1950,1950,0.1589,Interbedded clay and mud
21.424,7.7883,0.1866,1.4036,0.0303,1950,1950,0.1589,Interbedded sand and mud 
21.5764,8.5638,0.2072,1.5319,-0.0787,1950,1950,0.1589,Interbedded sand and mud 
21.7288,10.1242,0.2279,1.9107,-0.2229,1950,1950,0.1589,Interbedded sand and mud 
21.8812,10.3348,0.2261,1.9884,-0.1822,1950,1950,0.1589,Interbedded sand and mud 
22.0336,8.9701,0.1896,1.765,-0.1552,1950,1950,0.1589,Interbedded sand and mud 
22.186,7.9335,0.1495,1.6676,-0.0838,1950,1950,0.1589,Interbedded sand and mud 
22.3384,6.2631,0.1001,1.4213,0.0503,1950,1950,0.1589,Interbedded sand and mud 
22.4908,6.9921,0.1015,1.6468,0.0627,1950,1950,0.1589,Interbedded sand and mud 
22.6432,6.7119,0.1016,1.5562,0.0497,1950,1950,0.1589,Interbedded sand and mud 
22.7956,7.6845,0.111,1.8133,0.0782,1950,1950,0.1589,Interbedded sand and mud 
22.948,6.9512,0.0933,1.6819,0.1307,1950,1950,0.1589,Interbedded sand and mud 
23.1004,6.6665,0.0679,1.7394,0.1388,1950,1950,0.1589,Interbedded sand and mud 
23.2528,5.5605,0.0603,1.429,0.1317,1950,1950,0.1589,Interbedded sand and mud 
23.4052,5.9756,0.0607,1.5602,0.2306,1950,1950,0.1589,Interbedded sand and mud 
23.5576,7.0826,0.0694,1.8636,0.1397,1950,1950,0.1589,Interbedded clay and mud
23.71,7.0148,0.0764,1.8008,0.119,1950,1950,0.1589,Interbedded sand and mud 
23.8624,6.1113,0.072,1.537,0.104,1950,1950,0.1589,Interbedded sand and mud 
24.0148,5.9741,0.072,1.4932,0.0891,1950,1950,0.1589,Interbedded sand and mud 
24.1672,6.2528,0.0815,1.5268,0.1318,1950,1950,0.1589,Interbedded sand and mud 
24.3196,6.1693,0.0722,1.5546,0.1735,1950,1950,0.1589,Interbedded sand and mud 
24.472,5.8515,0.0631,1.5064,0.2689,1950,1950,0.1589,Interbedded sand and mud 
24.6244,5.6522,0.0569,1.4787,0.3768,1950,1950,0.1589,Interbedded clay and mud
24.7768,5.6353,0.0842,1.3134,0.4013,1950,1950,0.1589,Interbedded clay and mud
24.9292,4.762,0.0665,1.1367,0.5058,1950,1950,0.1589,Interbedded clay and mud
25.0816,3.6497,0.0493,0.8813,0.5302,1950,1950,0.1589,Interbedded sand and mud 
25.234,2.5478,0.0468,0.5428,0.7156,1950,1950,0.1589,Interbedded sand and mud 
25.3864,2.0678,0.0201,0.5449,0.9589,1950,1950,0.1589,Interbedded sand and mud 
25.5388,2.1213,0.0021,0.6678,1.0907,1950,1950,0.1589,Interbedded sand and mud 
25.6912,1.7515,0,0.5615,1.0251,1950,1950,0.1589,Interbedded sand and mud 
25.8436,1.2736,-0.0122,0.4797,1.0341,1950,1950,0.1589,Interbedded sand and mud 
25.996,0.7822,-0.0314,0.4343,1.3248,1950,1950,0.1589,Interbedded sand and mud 
26.1484,1.2539,-0.0274,0.5624,1.4407,1950,1950,0.1589,Interbedded sand and mud 
26.3008,1.4473,-0.0093,0.5181,1.3475,1950,1950,0.1589,Interbedded sand and mud 
26.4532,0.9745,-0.0167,0.4101,1.2557,1950,1950,0.1589,Interbedded sand and mud 
26.6056,1.5555,-0.0207,0.6197,1.0395,1950,1950,0.1589,Interbedded sand and mud 
26.758,1.958,-0.0218,0.7553,0.8438,1950,1950,0.1589,Interbedded sand and mud 
26.9104,2.9342,-0.0182,1.0471,0.6676,1950,1950,0.1589,Interbedded sand and mud 
27.0628,3.6617,-0.0133,1.2515,0.4131,1950,1950,0.1589,Interbedded sand and mud 
27.2152,3.9101,-0.0042,1.2781,0.2223,1950,1950,0.1589,Interbedded sand and mud 
27.3676,3.5109,0.0044,1.0995,0.0689,1950,1950,0.1589,Interbedded sand and mud 
27.52,3.5296,0.0144,1.0471,-0.0637,1950,1950,0.1589,Interbedded sand and mud 
27.6724,3.3764,0.03,0.9064,-0.1603,1950,1950,0.1589,Mud
27.8248,3.2975,0.0281,0.8926,-0.1757,1950,1950,0.1589,Mud
27.9772,3.2704,0.0249,0.9024,-0.2143,1950,1950,0.1589,Mud
28.1296,3.4473,0.0289,0.9355,-0.2475,1950,1950,0.1589,Mud
28.282,3.7519,0.0411,0.9619,-0.2769,1950,1950,0.1589,Mud
28.4344,4.1753,0.0704,0.9259,,1950,1950,0.1589,Mud
28.5868,4.4976,0.0938,0.8926,-0.3548,1950,1950,0.1589,Mud
28.7392,3.5287,0.1028,0.529,-0.282,1950,1950,0.1589,Mud
28.8916,2.1315,0.0873,0.1724,-0.1711,1950,1950,0.1589,Mud
29.044,1.3075,0.0651,0.038,-0.1292,1950,1950,0.1589,Mud
29.1964,0.8532,0.0503,-0.0211,-0.0932,1950,1950,0.1589,Mud
29.3488,1.3322,,-0.0825,-0.1664,1950,1950,0.1589,Mud
29.5012,1.9697,0.1259,-0.1055,-0.2624,1950,1950,0.1589,Mud
29.6536,1.0039,0.0702,-0.0893,-0.1392,1950,1950,0.1589,Mud
29.806,0.2032,0.0238,-0.0742,-0.0301,1950,1950,0.1589,Mud
29.9584,0.1318,0.0302,-0.1345,0.0065,1950,1950,0.1589,Interbedded sand and mud 
30.1108,0.0861,0.0281,-0.1366,0.0377,1950,1950,0.1589,Interbedded sand and mud 
30.2632,0.0295,0.0109,-0.0541,0.0238,1950,1950,0.1589,Interbedded sand and mud 
30.4156,0.178,0.0122,-0.0141,0.0544,1950,1950,0.1589,Interbedded sand and mud 
30.568,0.6399,0.019,0.0939,0.078,1950,1950,0.1589,Interbedded sand and mud 
30.7204,2.2068,0.0294,0.5353,0.0202,1950,1950,0.1589,Interbedded sand and mud 
30.8728,2.7165,0.0398,0.6374,-0.0373,1950,1950,0.1589,Interbedded sand and mud 
31.0252,2.601,0.0352,0.6279,0.0268,1950,1950,0.1589,Interbedded sand and mud 
31.1776,2.6352,0.0294,0.6726,0.1164,1950,1950,0.1589,Interbedded sand and mud 
31.33,3.1888,0.0321,0.8343,0.1805,1950,1950,0.1589,Interbedded sand and mud 
31.4824,3.5752,0.0274,0.9851,0.2016,1950,1950,0.1589,Interbedded sand and mud 
31.6348,4.1378,0.0408,1.0872,0.1476,1950,1950,0.1589,Interbedded sand and mud 
31.7872,4.5971,0.0571,1.139,0.2034,1950,1950,0.1589,Interbedded sand and mud 
31.9396,5.1646,0.0575,1.3187,0.3754,1950,1950,0.1589,Interbedded clay and mud
32.092,5.8357,0.052,1.5658,0.5276,1950,1950,0.1589,Interbedded clay and mud
32.2444,5.6145,0.0597,1.4501,0.5029,1950,1950,0.1589,Interbedded clay and mud
32.3968,4.3123,0.0726,0.9569,0.5863,1950,1950,0.1589,Interbedded clay and mud
32.5492,2.972,0.0557,0.6262,0.6415,1950,1950,0.1589,Interbedded sand and mud 
32.7016,2.833,0.043,0.6564,0.6157,1950,1950,0.1589,Interbedded sand and mud 
32.854,2.4988,0.0268,0.6438,0.5707,1950,1950,0.1589,Interbedded sand and mud 
33.0064,2.3279,0.0303,0.5686,0.5881,1950,1950,0.1589,Interbedded sand and mud 
33.1588,2.9836,0.0603,0.6031,0.568,1950,1950,0.1589,Interbedded sand and mud 
33.3112,3.1762,0.0644,0.6408,0.5356,1950,1950,0.1589,Interbedded sand and mud 
33.4636,2.9308,0.0442,0.6808,0.5316,1950,1950,0.1589,Interbedded sand and mud 
33.616,3.1233,0.0357,0.7918,0.4522,1950,1950,0.1589,Interbedded sand and mud 
33.7684,3.463,0.037,0.8935,0.41,1950,1950,0.1589,Interbedded sand and mud 
33.9208,3.209,0.0371,0.8115,0.4328,1950,1950,0.1589,Interbedded sand and mud 
34.0732,3.3923,0.0295,0.9144,0.3785,1950,1950,0.1589,Interbedded sand and mud 
34.2256,3.7105,0.0269,1.0318,0.3446,1950,1950,0.1589,Interbedded sand and mud 
34.378,3.8292,0.0266,1.0713,0.3701,1950,1950,0.1589,Interbedded sand and mud 
34.5304,4.8229,0.0374,1.3268,0.3131,1950,1950,0.1589,Interbedded sand and mud 
34.6828,5.7839,0.0427,1.604,0.3178,1950,1950,0.1589,Interbedded clay and mud
34.8352,5.3848,0.0153,1.6366,0.4376,1950,1950,0.1589,Interbedded clay and mud
34.9876,5.1411,-0.002,1.6596,0.4729,1950,1950,0.1589,Interbedded sand and mud 
35.14,6.0623,0.0312,1.7606,0.3033,1950,1950,0.1589,Interbedded clay and mud
35.2924,6.1681,0.0645,1.5993,0.2376,1950,1950,0.1589,Interbedded clay and mud
35.4448,5.3328,0.077,1.2585,0.2506,1950,1950,0.1589,Interbedded sand and mud 
35.5972,4.3278,0.0631,1.0179,0.2455,1950,1950,0.1589,Interbedded sand and mud 
35.7496,4.0163,0.0481,1.0056,0.2505,1950,1950,0.1589,Interbedded sand and mud 
35.902,4.618,0.052,1.1756,0.1913,1950,1950,0.1589,Interbedded sand and mud 
36.0544,5.6433,0.0662,1.421,0.1477,1950,1950,0.1589,Interbedded sand and mud 
36.2068,6.3669,0.0851,1.5425,0.1427,1950,1950,0.1589,Interbedded sand and mud 
36.3592,6.7857,0.0957,1.6143,0.1245,1950,1950,0.1589,Interbedded sand and mud 
36.5116,7.2424,0.1131,1.659,0.0856,1950,1950,0.1589,Interbedded sand and mud 
36.664,7.5757,0.1234,1.7054,0.0654,1950,1950,0.1589,Interbedded sand and mud 
36.8164,8.5582,0.1253,2.0092,0.1007,1950,1950,0.1589,Interbedded clay and mud
36.9688,10.4632,0.1454,2.5023,0.0786,1950,1950,0.1589,Interbedded clay and mud
37.1212,12.8779,0.169,3.1383,-0.0004,1950,1950,0.1589,Interbedded clay and mud
37.2736,14.0222,0.1769,3.4585,-0.1209,1950,1950,0.1589,Interbedded clay and mud
37.426,12.1765,0.1732,2.8887,-0.1597,1950,1950,0.1589,Interbedded clay and mud
37.5784,8.9489,0.1498,1.991,-0.1041,1950,1950,0.1589,Interbedded sand and mud 
37.7308,7.42,0.1299,1.6177,-0.0718,1950,1950,0.1589,Interbedded sand and mud 
37.8832,7.8779,0.1411,1.6988,0.0318,1950,1950,0.1589,Interbedded sand and mud 
38.0356,8.7465,0.1612,1.8597,0.0942,1950,1950,0.1589,Interbedded clay and mud
38.188,9.3746,0.1678,2.0221,0.0431,1950,1950,0.1589,Interbedded clay and mud
38.3404,9.4773,0.1701,2.0418,-0.0351,1950,1950,0.1589,Interbedded sand and mud 
38.4928,8.8177,0.169,1.8364,0.0227,1950,1950,0.1589,Interbedded sand and mud 
38.6452,7.9294,0.1527,1.6471,0.1317,1950,1950,0.1589,Interbedded clay and mud
38.7976,7.4858,0.1285,1.647,0.1682,1950,1950,0.1589,Interbedded clay and mud
38.95,6.9168,0.1079,1.5853,0.2452,1950,1950,0.1589,Interbedded clay and mud
39.1024,5.8801,0.0825,1.4018,0.3674,1950,1950,0.1589,Interbedded clay and mud
39.2548,4.9541,0.0609,1.231,0.5102,1950,1950,0.1589,Interbedded clay and mud
39.4072,5.1169,0.084,1.1481,0.5677,1950,1950,0.1589,Interbedded clay and mud
39.5596,6.3613,0.1298,1.2789,0.571,1950,1950,0.1589,Interbedded clay and mud
39.712,6.9695,0.1528,1.339,0.5729,1950,1950,0.1589,Interbedded clay and mud
39.8644,6.5343,0.1457,1.2414,0.5513,1950,1950,0.1589,Interbedded clay and mud
40.0168,5.9393,0.1243,1.1758,0.5785,1950,1950,0.1589,Interbedded clay and mud
40.1692,6.5588,0.1195,1.4021,0.5965,1950,1950,0.1589,Interbedded clay and mud
40.3216,8.231,0.1293,1.8808,0.5505,1950,1950,0.1589,Interbedded clay and mud
40.474,8.4975,0.1426,1.8887,0.4364,1950,1950,0.1589,Interbedded clay and mud
40.6264,7.1429,0.1405,1.4665,0.4168,1950,1950,0.1589,Interbedded clay and mud
40.7788,6.4056,0.1208,1.3457,0.3557,1950,1950,0.1589,Interbedded clay and mud
40.9312,6.7542,0.1086,1.5289,0.2644,1950,1950,0.1589,Interbedded clay and mud
41.0836,7.476,0.1008,1.8058,0.2665,1950,1950,0.1589,Interbedded clay and mud
41.236,8.8598,0.1055,2.2217,0.2616,1950,1950,0.1589,Interbedded clay and mud
41.3884,9.7289,0.1,2.5328,0.2909,1950,1950,0.1589,Interbedded clay and mud
41.5408,9.6677,0.0892,2.5762,0.2999,1950,1950,0.1589,Interbedded clay and mud
41.6932,8.8307,0.0933,2.2843,0.2974,1950,1950,0.1589,Interbedded clay and mud
41.8456,7.3856,0.0963,1.8034,0.324,1950,1950,0.1589,Interbedded clay and mud
41.998,6.7524,0.0938,1.6152,0.3927,1950,1950,0.1589,Interbedded clay and mud
42.1504,5.9449,0.0766,1.4571,0.4734,1950,1950,0.1589,Interbedded clay and mud
42.3028,6.8234,0.0804,1.7163,0.3794,1950,1950,0.1589,Interbedded clay and mud
42.4552,7.8238,0.0956,1.9479,0.2982,1950,1950,0.1589,Interbedded clay and mud
42.6076,7.4627,0.0978,1.8191,0.3394,1950,,0.1589,Interbedded clay and mud
42.76,8.5697,0.114,2.0791,0.3715,1950,1950,0.1589,Interbedded clay and mud
42.9124,8.8121,0.1032,2.2201,0.4157,1950,1950,0.1589,Interbedded clay and mud
43.0648,8.5344,0.1125,2.0767,0.4013,1950,1950,0.1589,Interbedded clay and mud
43.2172,7.5237,0.1061,1.7903,0.4635,1950,1950,0.1589,Interbedded clay and mud
43.3696,6.4887,0.1002,1.4931,0.5504,1950,1950,0.1589,Interbedded clay and mud
43.522,7.0831,0.1121,1.6136,0.5656,1950,1950,0.1589,Interbedded clay and mud
43.6744,7.2639,0.1335,1.5466,0.4905,1950,1950,0.1589,Interbedded clay and mud
43.8268,6.8873,0.1637,1.2486,0.4765,1950,1950,0.1589,Interbedded clay and mud
43.9792,6.4813,0.1687,1.0894,0.5995,1950,1950,0.1589,Interbedded clay and mud
44.1316,6.1776,0.168,0.9962,0.7549,1950,1950,0.1589,Interbedded clay and mud
44.284,6.4317,0.1791,1.0126,0.8221,1950,1950,0.1589,Interbedded clay and mud
44.4364,5.5945,0.1613,0.8485,0.9156,1950,1950,0.1589,Interbedded clay and mud
44.5888,4.5561,0.1617,0.5133,0.9452,1950,1950,0.1589,Interbedded clay and mud
44.7412,4.1942,0.1423,0.5112,0.8896,1950,1950,0.1589,Interbedded clay and mud
44.8936,3.7717,0.1207,0.5018,0.7517,1950,1950,0.1589,Interbedded clay and mud
45.046,3.612,0.114,0.4904,0.6994,1950,1950,0.1589,Interbedded clay and mud
45.1984,4.3082,0.1416,0.5519,0.7711,1950,1950,0.1589,Interbedded clay and mud
45.3508,3.8518,0.1423,0.4015,0.8903,1950,1950,0.1589,Interbedded clay and mud
45.5032,3.4959,0.1175,0.4327,0.9915,1950,1950,0.1589,Interbedded clay and mud
45.6556,3.541,0.0928,0.5917,0.9071,1950,1950,0.1589,Interbedded clay and mud
