DEPTH_WMSF,HCGR,HFK,HTHO,HURA,IDPH,IMPH,SFLU,lithology
186.154,69.3008,1.861,11.3263,1.7729,1.3672,1.3642,1.1136,Mud
186.3064,73.8834,1.9828,12.0823,1.8314,1.3365,1.3266,1.1337,Mud
186.4588,74.1765,2.0225,11.9438,1.9183,1.318,1.2991,1.1391,Mud
186.6112,73.2446,2.0155,11.6862,1.8571,1.3044,1.2798,1.1203,Mud
186.7636,74.0221,1.9841,12.1194,1.8554,1.2937,1.2681,1.117,Mud
186.916,78.5817,2.0919,12.95,1.8278,1.287,1.2636,1.1278,Mud
187.0684,82.1192,2.2042,13.4269,2.0216,1.2834,1.2648,1.1289,Sandy Mud
187.2208,84.2871,2.2885,13.6285,2.1193,1.2831,1.2687,1.1198,Sandy Mud
187.3732,84.1409,2.3305,13.3358,1.9337,1.2816,1.2726,1.1133,Sandy Mud
187.5256,84.98,2.3534,13.4711,1.6529,1.2815,1.2753,1.1076,Mud
187.678,82.5543,2.3231,12.8708,1.6598,1.2832,1.2769,1.1016,Mud
187.8304,82.8379,2.3405,12.8596,1.6048,1.285,1.2784,1.1057,Mud
187.9828,82.0794,2.3401,12.6188,1.6866,1.2875,1.2814,1.1097,Mud
188.1352,80.0061,2.3179,12.0841,1.6856,1.2877,1.2865,1.1175,Mud
188.2876,80.3966,2.3736,11.8831,1.7438,1.2871,1.2929,1.1349,Mud
188.44,84.3002,2.5129,12.3192,1.2544,1.2865,1.2981,1.1428,Mud
188.5924,85.8112,2.5687,12.4768,1.2904,1.2852,1.2989,1.1352,Mud
188.7448,82.112,2.4545,11.9596,1.3283,1.2826,1.2929,1.1165,Mud
188.8972,79.675,2.42,11.3801,1.5535,1.279,1.2805,1.0966,Mud
189.202,81.7261,2.5111,11.5041,1.7849,1.2698,1.2493,1.0776,Mud
189.3544,81.2703,2.5766,10.9745,1.7418,1.2647,1.2375,1.0759,Mud
189.5068,77.6224,2.4994,10.2569,1.8943,1.2575,1.2308,1.0737,Mud
189.6592,77.1091,2.4774,10.2208,1.9427,1.2492,1.2286,1.0678,Mud
189.8116,80.4485,2.544,10.9019,1.6358,1.242,1.2295,1.0626,Mud
189.964,82.6986,2.5719,11.46,1.7997,1.236,1.2316,1.0615,Mud
190.1164,81.5483,2.5364,11.2994,2.0943,1.2336,1.233,1.0651,Mud
190.2688,83.1198,2.5947,11.4619,2.058,1.2347,1.2326,1.0744,Mud
190.4212,81.4317,2.6008,10.885,1.8588,1.2361,1.2303,1.0852,Mud
190.5736,83.8554,2.6503,11.3719,1.6873,1.2325,1.2281,1.0802,Mud
190.726,81.3562,2.5776,10.9965,1.6836,1.2309,1.2277,1.0768,Mud
190.8784,81.3678,2.5527,11.1461,1.62,1.2353,1.2283,1.0891,Mud
191.0308,78.0502,2.4257,10.8255,1.6239,1.2436,1.228,1.0976,Mud
191.1832,79.8391,2.4397,11.317,1.3354,1.2513,1.2263,1.0847,Mud
191.3356,81.2996,2.5169,11.3333,1.322,1.2558,1.227,1.0693,Mud
191.488,81.7598,2.5355,11.3724,1.7023,1.2584,1.2358,1.0929,Mud
191.6404,82.6631,2.5579,11.5305,1.7224,1.2605,1.255,1.139,Mud
